origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3929,2e-08,695.38,20.0,-2.5245,0.31338,-8.240599999999999e-10,0
3930,2e-08,695.47,20.0,-2.5342,0.86246,-5.2153e-10,0
3931,2e-08,695.38,20.0,-2.5281,0.34071999999999997,-6.9919e-10,0
3932,2e-08,695.5,20.0,-2.5398,1.0219,2.7799999999999997e-10,0
3933,2e-08,695.43,20.0,-2.5418,0.7159,-3.2747e-09,0
3934,2e-08,695.47,20.0,-2.5473,0.92884,4.2287e-09,0
3935,2e-08,695.37,20.0,-2.5444,0.22946999999999998,1.7936000000000001e-10,0
3936,2e-08,695.43,20.0,-2.5475,0.65975,-2.6713000000000005e-09,0
3937,2e-08,695.4,20.0,-2.5547,0.47918999999999995,5.741599999999999e-10,0
3938,2e-08,695.4,20.0,-2.5580000000000003,0.41748999999999997,-2.141e-09,0
3939,2e-08,695.41,20.0,-2.5611,0.52659,-6.7016e-12,0
3940,2e-08,695.47,20.0,-2.5654,0.89618,9.7675e-10,0
3941,2e-08,695.5,20.0,-2.5716,1.0435,3.6409e-09,0
3942,2e-08,695.38,20.0,-2.5701,0.054340999999999993,-2.8962000000000003e-10,0
3943,2e-08,695.42,20.0,-2.5753,0.61139,6.1615e-10,0
3944,2e-08,695.47,20.0,-2.5826,0.8878299999999999,-6.1274e-10,0
3945,2e-08,695.45,20.0,-2.5803,0.8199700000000001,1.5034e-09,0
3946,2e-08,695.43,20.0,-2.5865,0.63694,5.5057e-09,0
3947,2e-08,695.41,20.0,-2.5896,0.5090899999999999,-2.9031e-09,0
3948,2e-08,695.48,20.0,-2.5953,0.9794,-1.5015e-09,0
3949,2e-08,695.48,20.0,-2.5992,1.0261,2.196e-09,0
3950,2e-08,695.42,20.0,-2.6008,0.59126,-2.2733e-10,0
3951,2e-08,695.46,20.0,-2.6065,0.87544,4.184e-09,0
3952,2e-08,695.48,20.0,-2.6082,0.98741,3.0535000000000003e-09,0
3953,2e-08,695.41,20.0,-2.6101,0.45653,-6.2584e-10,0
3954,2e-08,695.43,20.0,-2.6136,0.6593,-4.8875e-10,0
3955,2e-08,695.41,20.0,-2.6168,0.3904,2.8875000000000002e-09,0
3956,2e-08,695.45,20.0,-2.6209,0.8252799999999999,1.9204e-09,0
3957,2e-08,695.45,20.0,-2.6249,0.8114899999999999,-4.5369e-09,0
3958,2e-08,695.42,20.0,-2.6232,0.50535,-8.1992e-10,0
3959,2e-08,695.44,20.0,-2.6338,0.74419,8.8916e-10,0
3960,2e-08,695.41,20.0,-2.6333,0.45436000000000004,-9.8409e-10,0
3961,2e-08,695.46,20.0,-2.638,0.92419,-4.2308999999999995e-09,0
3962,2e-08,695.45,20.0,-2.6387,0.77535,-2.5503e-09,0
3963,2e-08,695.45,20.0,-2.6462,0.8097300000000001,5.687999999999999e-10,0
3964,2e-08,695.47,20.0,-2.6453,1.0195,-6.6267e-09,0
3965,2e-08,695.44,20.0,-2.6479,0.7112,-1.3917e-09,0
3966,2e-08,695.43,20.0,-2.6531,0.52437,-8.203099999999999e-10,0
3967,2e-08,695.46,20.0,-2.662,1.0292,-6.7556e-09,0
3968,2e-08,695.45,20.0,-2.6595,0.85683,-1.3142e-09,0
3969,2e-08,695.42,20.0,-2.6624,0.44105,1.2896e-09,0
