origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel,cluster
3380,7.5081e-08,500.0,75.081,5.709,-0.6951470287156242,-0.5832976178314455,1,0
3380,7.5081e-08,500.0,75.081,5.709,-0.5832976149886547,-0.6951470311010088,1,0
3380,7.5081e-08,500.0,75.081,5.709,-0.4537249983930902,-0.7858747535919387,1,0
3380,7.5081e-08,500.0,75.081,5.709,-0.3103661773172783,-0.8527240693667909,1,0
3380,7.5081e-08,500.0,75.081,5.709,-0.15757703699654516,-0.8936637957931323,1,0
3380,7.5081e-08,500.0,75.081,5.709,1.8554998333041396e-09,-0.90745,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.15757704065116634,-0.8936637951487241,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.31036618080447803,-0.8527240680975541,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.4537250016069103,-0.7858747517364388,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.5832976178314455,-0.6951470287156243,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.6951470311010087,-0.5832976149886548,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.7858747535919386,-0.4537249983930902,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.8527240693667909,-0.31036617731727834,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.8936637957931323,-0.1575770369965452,1,0
3380,7.5081e-08,500.0,75.081,5.709,0.90745,1.8554997777388525e-09,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.9091600000000001,-1.415e-10,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.8953478167531502,0.15787397706831607,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.8543309431621123,0.31095103337299845,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.7873556561754103,0.4545799998774573,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.6964569659970045,0.5843967831142187,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.5843967833310094,0.6964569658150955,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.4545800001225427,0.7873556560339102,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.3109510336389316,0.8543309430653205,1,0
3200,1.5713e-07,500.0,157.13,5.7488,0.15787397734701675,0.8953478167040078,1,0
3200,1.5713e-07,500.0,157.13,5.7488,1.4150005566999418e-10,0.9091600000000001,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.15787397706831605,0.8953478167531502,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.31095103337299845,0.8543309431621123,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.4545799998774572,0.7873556561754103,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.5843967831142188,0.6964569659970045,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.6964569658150954,0.5843967833310095,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.7873556560339103,0.4545800001225425,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.8543309430653205,0.3109510336389316,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.8953478167040078,0.15787397734701664,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.9091600000000001,1.415001113399884e-10,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.8953478167531502,-0.15787397706831618,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.8543309431621123,-0.3109510333729984,1,0
3200,1.5713e-07,500.0,157.13,5.7488,-0.7873556561754101,-0.4545799998774575,1,0
