cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,15,219.133,770,0.0003999111803640242,8.061
2,16,235.401,55470,0.03203049432617581,12.617
3,17,341.55,76,3.8959613198846223e-05,0.132
4,18,321.35,38,1.9711542803775155e-05,0.133
all,all,235.38,56354,0.03248907666254278,13.267
