cluster,temperature,ice_particles,ice_mass,ice_length
1,218.125,2508,0.0013176538072908629,10.726
2,231.8,38,2.100077889594332e-05,0.069
3,239.131,31128,0.018140488821044156,7.776
4,293.054,874,0.0005487306423318152,0.495
5,283.099,1178,0.0006404800545461531,0.689
6,304.005,304,0.00016115628303264116,0.218
7,332.557,152,7.6091322214592e-05,0.136
8,314.13,152,7.633428553711079e-05,0.199
9,339.653,114,5.767006495491225e-05,0.132
10,323.68,70,3.484096431894904e-05,0.148
all,242.107,36518,0.021074447024167244,10.733
