cluster,temperature,ice_particles,ice_mass,ice_length
1,219.081,487,0.0002413902315818156,4.788
2,234.991,55753,0.03226498947896249,12.934
3,293.58,38,1.8759116234065847e-05,0.157
4,341.58,38,1.8305598754988924e-05,0.135
all,234.965,56316,0.03254344442553367,13.815
