cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,31,219.152,763,0.0003847584822918434,7.091
2,32,235.244,54679,0.031803718039295395,12.939
3,33,321.46,38,1.922573046855008e-05,0.137
all,all,235.082,55480,0.0322077022520558,13.246
