cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,11,219.109,865,0.0004423330221760301,5.135
2,12,234.303,54843,0.031786341256901,12.171
3,13,315.559,532,0.0002687223615983372,0.973
4,14,346.15,38,1.834951899721701e-05,0.132
all,all,234.913,56278,0.032515746159672385,13.704
