cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,27,218.963,1990,0.0010278717142028664,9.665
2,28,236.609,53300,0.03103710769911756,12.779
3,29,323.68,228,0.00011515578498872106,0.377
4,30,342.525,76,3.703027302175285e-05,0.152
all,all,236.479,55594,0.03221716547133134,13.708
