cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,41,219.104,1751,0.0009230006996996453,6.147
2,42,234.49,53159,0.030524897276739887,12.205
3,43,315.743,380,0.0002016197565143372,0.553
4,44,337.53,38,1.922573046855008e-05,0.131
all,all,234.632,55328,0.031668743463422515,13.236
