cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,38,219.083,257,0.00012911761190023428,5.629
2,39,234.66,56667,0.03253904491298247,13.228
3,40,364.37,38,1.8272704605172935e-05,0.138
all,all,234.677,56962,0.032686435229487935,14.141
