cluster,temperature,ice_particles,ice_mass,ice_length
1,239.053,7045,0.0037956544607893744,8.127
2,242.7,38,2.0381748758256847e-05,0.0
3,243.01,38,2.0364075020073673e-05,0.018
4,242.203,231,0.00012311575394813927,0.178
5,243.475,679,0.00040839455779702186,0.269
6,243.808,190,0.00011192515739983727,0.123
7,241.889,1197,0.0007049622156449413,0.361
8,245.886,1683,0.0009526329624518905,0.35
9,252.187,5112,0.0028760790750318554,1.271
10,258.219,266,0.0001900401080462805,0.191
11,258.01,974,0.0005479576606183104,0.34
12,266.992,190,0.00012858918358988087,0.131
13,248.708,52,3.066504543505976e-05,0.112
14,231.84,470,0.00025582193421134087,0.335
15,279.2,38,3.000051955405574e-05,0.043
16,273.687,152,9.688517675662995e-05,0.178
17,285.31,76,5.566766133343073e-05,0.011
18,259.232,190,0.00012388398651318246,0.201
19,246.866,154,9.126554716519716e-05,0.221
20,301.98,76,7.024677356206197e-05,0.047
21,275.837,165,9.038257639950315e-05,0.174
22,259.633,85,4.667608684815334e-05,0.187
23,301.55,38,2.896793056873836e-05,0.004
24,312.34,38,3.579814088503134e-05,0.023
25,317.67,38,3.466088020799156e-05,0.009
26,329.9,76,5.360916937118322e-05,0.018
27,322.41,38,2.5605910547529912e-05,0.051
28,357.61,38,3.3204109377718555e-05,0.019
29,357.98,38,2.5393802457507743e-05,0.041
30,241.625,304,0.00017040939188998715,0.29
31,264.902,418,0.0002238509353779158,0.221
32,224.475,73,4.398342454697899e-05,0.182
33,229.463,64,3.1659512480568415e-05,0.178
34,266.719,73,3.8701127060219274e-05,0.162
35,290.735,335,0.0001844228066452312,0.226
36,331.507,152,8.204866913164836e-05,0.136
37,410.11,76,5.632246406053384e-05,0.035
38,305.068,342,0.00018480436027095432,0.193
all,250.681,21242,0.012025034901754566,8.127
