cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,22,219.017,2933,0.001563047302872675,7.361
2,23,235.388,51293,0.029898495340802685,11.794
3,24,316.793,798,0.00042694739316650473,0.702
4,25,273.67,114,6.012238692937236e-05,0.198
5,26,343.58,38,1.8305598754988924e-05,0.133
all,all,235.848,55176,0.031966918022526505,13.467
