,origId,iceLabel,d,T,Points:0,Points:1,Points:2
0,1048,0,1e-05,547.92,1.0062,0.052948,1.4904000000000002e-07
1,1048,0,1e-05,547.92,1.0062,0.052143575025966,0.009194470486856137
2,1048,0,1e-05,547.92,1.0062,0.04975479391069012,0.01810942260059571
3,1048,0,1e-05,547.92,1.0062,0.045854238559578465,0.02647412907242618
4,1048,0,1e-05,547.92,1.0062,0.0405604253731983,0.03403443252894669
5,1048,0,1e-05,547.92,1.0062,0.03403420418641908,0.04056061697532899
6,1048,0,1e-05,547.92,1.0062,0.026473870927573827,0.04585438759957845
7,1048,0,1e-05,547.92,1.0062,0.018109142497019313,0.04975489586005444
8,1048,0,1e-05,547.92,1.0062,0.009194176935361122,0.05214362678701479
9,1048,0,1e-05,547.92,1.0062,-1.490399999967579e-07,0.052948
10,1048,0,1e-05,547.92,1.0062,-0.009194470486856135,0.052143575025966
11,1048,0,1e-05,547.92,1.0062,-0.01810942260059571,0.04975479391069012
12,1048,0,1e-05,547.92,1.0062,-0.02647412907242617,0.045854238559578465
13,1048,0,1e-05,547.92,1.0062,-0.03403443252894669,0.0405604253731983
14,1048,0,1e-05,547.92,1.0062,-0.040560616975328985,0.03403420418641909
15,1048,0,1e-05,547.92,1.0062,-0.04585438759957846,0.026473870927573816
16,1048,0,1e-05,547.92,1.0062,-0.04975489586005444,0.018109142497019316
17,1048,0,1e-05,547.92,1.0062,-0.05214362678701479,0.009194176935361115
18,1048,0,1e-05,547.92,1.0062,-0.052948,-1.4903999999351577e-07
19,1048,0,1e-05,547.92,1.0062,-0.052143575025966,-0.009194470486856144
20,1048,0,1e-05,547.92,1.0062,-0.04975479391069012,-0.018109422600595705
21,1048,0,1e-05,547.92,1.0062,-0.04585423855957846,-0.02647412907242619
22,1048,0,1e-05,547.92,1.0062,-0.0405604253731983,-0.03403443252894669
23,1048,0,1e-05,547.92,1.0062,-0.03403420418641909,-0.040560616975328985
24,1048,0,1e-05,547.92,1.0062,-0.026473870927573844,-0.045854387599578446
25,1048,0,1e-05,547.92,1.0062,-0.0181091424970193,-0.049754895860054445
26,1048,0,1e-05,547.92,1.0062,-0.009194176935361119,-0.05214362678701479
27,1048,0,1e-05,547.92,1.0062,1.4903999999027362e-07,-0.052948
28,1048,0,1e-05,547.92,1.0062,0.009194470486856118,-0.052143575025966
29,1048,0,1e-05,547.92,1.0062,0.018109422600595722,-0.04975479391069011
30,1048,0,1e-05,547.92,1.0062,0.02647412907242619,-0.04585423855957846
31,1048,0,1e-05,547.92,1.0062,0.03403443252894669,-0.04056042537319831
32,1048,0,1e-05,547.92,1.0062,0.040560616975328985,-0.034034204186419094
33,1048,0,1e-05,547.92,1.0062,0.04585438759957844,-0.026473870927573844
34,1048,0,1e-05,547.92,1.0062,0.049754895860054445,-0.0181091424970193
35,1048,0,1e-05,547.92,1.0062,0.05214362678701479,-0.009194176935361122
36,1048,0,1e-05,547.92,1.0062,0.052948,1.490399999870315e-07
37,1052,0,1e-05,557.24,0.97246,0.053037,1.7993e-07
38,1052,0,1e-05,557.24,0.97246,0.05223121755199187,0.009209955595379984
39,1052,0,1e-05,557.24,0.97246,0.04983841598893784,0.01813989142045675
40,1052,0,1e-05,557.24,0.97246,0.04593129937551528,0.0265186558239509
41,1052,0,1e-05,557.24,0.97246,0.04062858347292663,0.03409166428932163
42,1052,0,1e-05,557.24,0.97246,0.03409138862056834,0.04062881478647585
43,1052,0,1e-05,557.24,0.97246,0.026518344176049105,0.04593147930551527
44,1052,0,1e-05,557.24,0.97246,0.01813955326267024,0.04983853906830661
45,1052,0,1e-05,557.24,0.97246,0.00920960120246199,0.052231280041025084
46,1052,0,1e-05,557.24,0.97246,-1.7992999999675242e-07,0.053037
47,1052,0,1e-05,557.24,0.97246,-0.009209955595379982,0.05223121755199187
48,1052,0,1e-05,557.24,0.97246,-0.01813989142045675,0.04983841598893784
49,1052,0,1e-05,557.24,0.97246,-0.026518655823950892,0.04593129937551528
50,1052,0,1e-05,557.24,0.97246,-0.03409166428932164,0.04062858347292663
51,1052,0,1e-05,557.24,0.97246,-0.04062881478647584,0.03409138862056835
52,1052,0,1e-05,557.24,0.97246,-0.04593147930551528,0.026518344176049095
53,1052,0,1e-05,557.24,0.97246,-0.04983853906830661,0.018139553262670242
54,1052,0,1e-05,557.24,0.97246,-0.052231280041025084,0.009209601202461982
55,1052,0,1e-05,557.24,0.97246,-0.053037,-1.7992999999350484e-07
56,1052,0,1e-05,557.24,0.97246,-0.05223121755199187,-0.00920995559537999
57,1052,0,1e-05,557.24,0.97246,-0.04983841598893784,-0.018139891420456748
58,1052,0,1e-05,557.24,0.97246,-0.045931299375515273,-0.02651865582395091
59,1052,0,1e-05,557.24,0.97246,-0.04062858347292663,-0.03409166428932163
60,1052,0,1e-05,557.24,0.97246,-0.03409138862056835,-0.04062881478647584
61,1052,0,1e-05,557.24,0.97246,-0.026518344176049122,-0.04593147930551526
62,1052,0,1e-05,557.24,0.97246,-0.018139553262670225,-0.04983853906830662
63,1052,0,1e-05,557.24,0.97246,-0.009209601202461986,-0.052231280041025084
64,1052,0,1e-05,557.24,0.97246,1.7992999999025727e-07,-0.053037
65,1052,0,1e-05,557.24,0.97246,0.009209955595379965,-0.05223121755199188
66,1052,0,1e-05,557.24,0.97246,0.018139891420456765,-0.04983841598893783
67,1052,0,1e-05,557.24,0.97246,0.02651865582395091,-0.045931299375515273
68,1052,0,1e-05,557.24,0.97246,0.03409166428932163,-0.04062858347292663
