origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel,cluster,nodeCluster
3390,4.8912e-08,234.51,48.912,5.884,-0.8495838006889139,-0.14980454501442755,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.8106634275040421,-0.29505735613164885,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.7471114562899472,-0.4313449987890368,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.6608588815331209,-0.5545264419293205,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.5545264440716406,-0.6608588797355011,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.4313450012109637,-0.7471114548916472,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.2950573587595932,-0.8106634265475485,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-0.14980454776854082,-0.8495838002032895,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,-1.3983001584735818e-09,-0.86269,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.1498045450144271,-0.849583800688914,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.2950573561316492,-0.810663427504042,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.4313449987890368,-0.7471114562899472,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.5545264419293205,-0.6608588815331211,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.660858879735501,-0.5545264440716408,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.7471114548916471,-0.4313450012109637,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.8106634265475485,-0.2950573587595932,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.8495838002032895,-0.14980454776854085,1,2,6
3390,4.8912e-08,234.51,48.912,5.884,0.86269,-1.3983002112981091e-09,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,1.1176,3.8852e-10,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,1.1006211446989778,0.19406920374317885,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,1.0502004728574494,0.3822417125458567,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.9678699910752284,0.558800000336468,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.856131269380034,0.7183794328832999,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.7183794322880528,0.8561312698795056,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.5587999996635319,0.9678699914637484,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.3822417118156781,1.0502004731232129,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.1940692029779439,1.1006211448339094,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-3.885199315667369e-10,1.1176,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.1940692037431788,1.1006211446989778,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.3822417125458567,1.0502004728574494,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.5588000003364679,0.9678699910752284,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.7183794328833001,0.856131269380034,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.8561312698795054,0.7183794322880529,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.9678699914637486,0.5587999996635317,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-1.0502004731232129,0.3822417118156781,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-1.1006211448339094,0.19406920297794367,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-1.1176,-3.8851986313347376e-10,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-1.1006211446989778,-0.194069203743179,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-1.0502004728574494,-0.3822417125458567,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.9678699910752284,-0.5588000003364683,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.856131269380034,-0.7183794328832999,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.7183794322880529,-0.8561312698795054,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.5587999996635322,-0.9678699914637484,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.3822417118156777,-1.0502004731232129,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,-0.1940692029779438,-1.1006211448339094,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,3.8851979470021065e-10,-1.1176,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.1940692037431785,-1.100621144698978,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.3822417125458569,-1.0502004728574494,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.5588000003364683,-0.9678699910752284,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.7183794328832999,-0.8561312693800341,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.8561312698795053,-0.718379432288053,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,0.9678699914637484,-0.5587999996635322,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,1.0502004731232129,-0.3822417118156778,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,1.1006211448339094,-0.19406920297794386,1,2,6
3373,6.1695e-08,220.32,61.695,5.796,1.1176,3.885197262669475e-10,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.84839,3.1683e-09,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.8355010490278576,0.14732138057101346,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.7972258214649344,0.2901664723732922,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.7347272907325298,0.4241950027438282,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.6499044430611658,0.5453345826090216,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.5453345777549046,0.6499044471342537,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.4241949972561718,0.7347272939008299,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.29016646641883603,0.7972258236321792,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.14732137433068068,0.8355010501281968,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-3.168299948051095e-09,0.84839,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.1473213805710134,0.8355010490278576,1,2,6
