"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
3564,0,1e-05,579.78,1.0718,0.047225,1.0483e-06
2586,0,1e-05,554.82,1.041,0.052274,3.012e-07
3570,0,1e-05,581.41,1.0532,0.047204,3.7819e-07
3597,0,1e-05,588.76,1.0704,0.04331,-7.0848e-08
3600,0,1e-05,590.21,1.049,0.044069,9.9466e-08
3596,0,1e-05,588.86,1.0305,0.04516,1.3596e-07
3525,0,1e-05,607.14,1.0293,0.026442,-2.9205e-07
3383,0,1e-05,607.29,0.86036,0.053913,5.564e-08
3552,0,1e-05,606.08,1.0134,0.032118,-4.538e-07
3606,0,1e-05,596.29,1.0455,0.039594,-6.423e-08
3609,0,1e-05,593.86,1.0579,0.040663,6.1471e-08
3611,0,1e-05,599.42,1.0475,0.033685,-2.4485e-08
3607,0,1e-05,598.39,0.98635,0.04425,2.7839e-07
3613,0,1e-05,595.05,0.96467,0.047307,-1.2985e-08
3608,0,1e-05,574.54,0.92685,0.055006,-5.9702e-07
3612,0,1e-05,603.75,0.98007,0.041417,-5.8802e-08
3601,0,1e-05,613.9,1.0092,0.022917,-1.6782e-07
3610,0,1e-05,607.25,1.0104,0.030695,8.9104e-08
3622,0,1e-05,569.64,0.87272,0.064496,-6.9304e-07
3614,0,1e-05,610.39,0.98048,0.033732,2.017e-07
3623,0,1e-05,599.45,0.90465,0.05205,-7.8701e-08
3620,0,1e-05,610.47,0.97244,0.03556,9.5184e-08
3626,0,1e-05,550.18,0.85267,0.070107,4.5072e-08
3598,0,1e-05,684.24,0.6744,0.11815,-3.9735e-07
3618,0,1e-05,612.64,0.93594,0.036398,-2.3432e-07
3627,0,1e-05,599.95,0.84943,0.063854,2.6445e-07
3624,0,1e-05,598.79,0.85947,0.061702,-3.0436e-07
3625,0,1e-05,576.4,0.826,0.074353,1.0099e-07
3603,0,1e-05,601.22,0.83055,0.068001,-3.4118e-07
3634,0,1e-05,567.42,0.79453,0.084288,9.0731e-08
3630,0,1e-05,600.81,0.84712,0.063736,-1.5912e-07
3631,0,1e-05,606.45,0.86784,0.054963,5.2229e-08
3621,0,1e-05,607.96,0.78219,0.081478,-4.9648e-08
3638,0,1e-05,647.47,0.7335,0.097636,-4.9643e-07
3643,0,1e-05,606.44,0.7989,0.071816,2.3703e-07
3635,0,1e-05,620.47,0.75783,0.088274,-1.6519e-07
3619,0,1e-05,693.91,0.62782,0.13448,1.2449e-09
3647,0,1e-05,664.46,0.71285,0.098683,-2.8174e-07
3650,0,1e-05,643.43,0.73578,0.093656,3.8128e-07
3640,0,1e-05,630.86,0.7457,0.087847,2.6994e-07
3642,0,1e-05,613.54,0.76967,0.077,-1.8073e-07
3637,0,1e-05,686.13,0.67334,0.1205,-6.4402e-08
3644,0,1e-05,685.26,0.66926,0.11632,4.1602e-07
3646,0,1e-05,666.55,0.70905,0.099347,-3.7134e-07
3645,0,1e-05,645.04,0.73351,0.090958,2.051e-08
3616,0,1e-05,692,0.64038,0.12729,4.991e-07
3651,0,1e-05,673.5,0.69487,0.10232,8.7387e-08
3639,0,1e-05,688.34,0.6588,0.11914,-7.8453e-08
3648,0,1e-05,662.94,0.71359,0.094729,5.4902e-07
3632,0,1e-05,695.1,0.60896,0.13355,-4.5139e-07
3636,0,1e-05,680.17,0.67061,0.1005,-1.7018e-07
3649,0,1e-05,684.42,0.66486,0.10651,-8.3607e-08
3652,0,1e-05,669.79,0.70184,0.094458,-2.8559e-07
3641,0,1e-05,665.18,0.71005,0.091724,1.7084e-07
3656,0,1e-05,684,0.66615,0.10612,-2.5849e-07
3657,0,1e-05,683.02,0.66817,0.10359,2.657e-07
