cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
2,9,233.861,9918,1.801728594231985e-05,24.829
3,10,219.122,845,2.7014515011987703e-07,37.59
4,11,234.211,266,2.1798409345561837e-08,1.901
5,12,233.577,114,1.6301858620381483e-09,1.338
6,13,244.8,70,1.383133485693003e-10,1.11
7,14,233.212,66,3.6092235133791862e-12,1.11
8,15,233.385,45,1.0690727529852778e-10,1.138
all,all,232.828,11324,1.831110851749486e-05,39.344
