cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
2,24,233.551,5472,1.0169500285130685e-05,13.93
3,25,233.551,1406,1.2464948410065127e-06,5.373
4,26,225.179,1241,5.154351670698927e-07,48.34
5,27,235.137,418,3.7309117705786235e-07,1.945
6,28,236.72,304,8.94966952749311e-08,2.013
7,29,235.032,203,3.336026854205121e-08,2.241
all,all,232.615,9044,1.2427378434082184e-05,49.466
