cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
2,39,230.511,4897,7.633375153978298e-06,11.659
3,40,228.71,4498,2.1512250772786383e-06,19.53
4,41,216.232,1668,2.8666507644196034e-07,44.592
5,42,233.912,190,2.7219813269921257e-09,1.47
6,43,229.469,185,2.78000912671005e-10,2.249
7,44,235.88,152,1.929164352577541e-10,1.697
8,45,240.22,76,3.9851157399504804e-12,0.774
9,46,234.52,38,2.0076848518353335e-11,0.711
all,all,227.968,11704,1.0074482268337987e-05,49.284
