cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,26,219.593,765,1.0254828143484849e-07,48.347
2,27,233.572,5667,9.959328974348192e-06,15.223
3,28,234.779,1064,9.003243659961752e-07,3.602
4,29,229.627,912,4.4302775028051816e-07,4.82
5,30,237.473,380,9.296409020535126e-08,2.938
6,31,232.018,190,1.8982871729526793e-08,1.798
7,32,236.944,66,1.5161891872825532e-10,1.106
all,all,232.29,9044,1.1517327952913561e-05,48.686
