cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,1,216.42,684,1.6292174499227848e-07,46.582
2,2,234.971,11476,2.168578663355183e-05,23.152
3,3,231.477,608,1.4223582785705508e-07,4.086
4,4,236.224,190,7.045248161459013e-08,1.601
5,5,232.375,152,2.6644169915598147e-09,1.664
6,6,236.302,152,1.1210202378404518e-11,1.295
all,all,233.858,13262,2.2064072315209784e-05,48.179
