cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,14,219.19,798,7.370019650735017e-08,37.059
2,15,233.417,9386,1.4177510666556159e-05,26.63
3,16,236.079,266,2.19553710727361e-08,2.368
4,17,239.377,152,8.216525827799607e-10,1.388
5,18,229.3,76,7.596149338473653e-11,0.814
6,19,236.71,38,2.395996897030626e-12,0.661
all,all,232.491,10716,1.427406624420946e-05,50.059
