"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
5647,0,1e-05,604.17,1.031,0.031222,-7.1038e-09
5659,0,1e-05,517.78,0.94332,0.057566,9.2263e-08
5743,0,1e-05,594.28,1.0988,0.032157,3.79e-08
5748,0,1e-05,598.25,1.0704,0.031229,6.6629e-07
5746,0,1e-05,596.47,1.069,0.034925,-1.6934e-07
5752,0,1e-05,602.4,1.0536,0.0274,-1.312e-07
5757,0,1e-05,606.07,1.0328,0.027268,1.7366e-07
5753,0,1e-05,610.4,1.0029,0.028956,-7.7798e-08
5744,0,1e-05,580.29,1.0414,0.047722,-9.8854e-08
5765,0,1e-05,608.42,0.98691,0.03602,-1.9636e-07
5706,0,1e-05,450.71,0.80845,0.084684,-3.63e-07
5745,0,1e-05,604.62,1.0133,0.035275,-8.5288e-08
5747,0,1e-05,596.93,1.0381,0.040135,5.883e-07
5773,0,1e-05,606.65,0.96911,0.041087,-5.2969e-08
5756,0,1e-05,605.47,0.96795,0.041798,1.1873e-07
5705,0,1e-05,555.18,0.95132,0.054167,5.482e-07
5763,0,1e-05,611.32,0.89432,0.043574,-1.4936e-07
5734,0,1e-05,438.88,0.83508,0.079145,-5.1627e-08
5750,0,1e-05,602.46,0.97525,0.043093,-1.0087e-07
5755,0,1e-05,601.95,0.96597,0.044355,-3.3169e-07
5768,0,1e-05,604.79,0.85608,0.05906,3.5503e-07
5626,0,1e-05,610.79,0.77725,0.081555,-2.825e-07
5761,0,1e-05,592.28,0.92821,0.051481,7.1028e-07
5769,0,1e-05,603.58,0.82932,0.066869,6.4929e-08
5694,0,1e-05,672.11,0.69612,0.096333,-6.7843e-07
5751,0,1e-05,548.05,0.88945,0.062717,-2.5671e-08
5772,0,1e-05,607.28,0.79806,0.071555,-4.5719e-07
5775,0,1e-05,607.01,0.79753,0.073294,-2.0523e-07
5774,0,1e-05,606.84,0.80522,0.068991,-8.562e-07
5764,0,1e-05,586.88,0.88115,0.060294,1.4676e-07
5767,0,1e-05,559.08,0.82716,0.075742,8.5656e-08
5749,0,1e-05,512.73,0.79845,0.085356,-2.0496e-07
5781,0,1e-05,618.93,0.76028,0.088324,-2.7934e-07
5776,0,1e-05,609.59,0.77286,0.085975,-1.844e-08
5758,0,1e-05,610.21,0.74739,0.097299,5.7717e-08
5790,0,1e-05,668.86,0.70355,0.095571,4.1051e-07
5770,0,1e-05,633.66,0.74363,0.096006,-1.8636e-07
5778,0,1e-05,643.65,0.73702,0.097351,3.1858e-07
5780,0,1e-05,635.6,0.74294,0.094922,1.1102e-07
5787,0,1e-05,663.07,0.71479,0.098096,2.9817e-07
5771,0,1e-05,657.75,0.72446,0.10228,-2.3355e-08
5779,0,1e-05,655.1,0.72522,0.096604,-9.6816e-08
5786,0,1e-05,683.47,0.66875,0.093214,-9.1254e-08
5788,0,1e-05,668.63,0.70524,0.099969,2.129e-07
5789,0,1e-05,685.79,0.65837,0.096998,-3.5462e-09
5782,0,1e-05,666.81,0.70962,0.10073,1.6515e-07
5777,0,1e-05,665.19,0.71258,0.1006,1.1922e-07
5785,0,1e-05,668.28,0.70917,0.10498,2.3005e-07
5798,0,1e-05,683.65,0.66597,0.10337,7.3135e-08
5799,0,1e-05,683.46,0.66509,0.098749,9.8194e-08
5792,0,1e-05,673.5,0.69415,0.099801,-1.4616e-08
5760,0,1e-05,673.2,0.70093,0.10961,2.6123e-07
5794,0,1e-05,677.82,0.68489,0.1049,-1.3371e-07
5754,0,1e-05,680.49,0.68468,0.11522,-6.1537e-08
5805,0,1e-05,687.09,0.65884,0.094185,7.3122e-08
5759,0,1e-05,691.62,0.63753,0.088997,-2.0485e-07
5766,0,1e-05,682.95,0.67744,0.11699,-3.2336e-09
5742,0,1e-05,691.98,0.63251,0.089226,1.3778e-07
5711,0,1e-05,693.39,0.61018,0.08848,-4.9478e-08
5797,0,1e-05,689.3,0.6475,0.11206,7.6221e-07
5808,0,1e-05,691.2,0.63279,0.10296,-6.382e-07
5802,0,1e-05,692.22,0.62458,0.098475,-5.2566e-07
5784,0,1e-05,690.31,0.65068,0.12393,8.7437e-07
5811,0,1e-05,692.42,0.61896,0.10689,-2.9451e-07
5796,0,1e-05,689.63,0.64926,0.11691,3.3278e-08
5804,0,1e-05,691.53,0.62958,0.11119,6.0294e-07
5793,0,1e-05,691.17,0.64224,0.12211,-1.0483e-06
5803,0,1e-05,690.56,0.64061,0.11525,-2.7448e-08
5800,0,1e-05,690.92,0.64012,0.11752,5.699e-07
5818,0,1e-05,693.35,0.60539,0.10965,1.3318e-07
5801,0,1e-05,692.02,0.62627,0.11437,-3.9145e-07
5806,0,1e-05,692.73,0.61573,0.11204,-9.7373e-10
5819,0,1e-05,693.7,0.59812,0.1101,2.6763e-07
5824,0,1e-05,693.75,0.59822,0.10536,1.0629e-07
5762,0,1e-05,693.85,0.62487,0.13162,-1.9714e-07
5814,0,1e-05,693.12,0.61025,0.11358,2.0891e-07
5813,0,1e-05,694.35,0.59461,0.096238,-2.898e-07
5783,0,1e-05,697.16,0.57258,0.14673,-1.2742e-07
5791,0,1e-05,697.4,0.55604,0.14507,1.4022e-06
5795,0,1e-05,693.59,0.61713,0.12279,-3.8407e-07
5807,0,1e-05,695.69,0.46474,0.088657,-3.5144e-07
5809,0,1e-05,695.72,0.59589,0.13356,-3.5876e-07
5810,0,1e-05,694.19,0.61212,0.12631,-4.6161e-07
5812,0,1e-05,697.04,0.55946,0.1411,2.8104e-07
5815,0,1e-05,696.87,0.55796,0.14036,5.8544e-08
5816,0,1e-05,693.83,0.60454,0.12179,-9.6589e-07
5817,0,1e-05,694.94,0.58916,0.12735,-5.7119e-07
5820,0,1e-05,694.47,0.58633,0.12109,-1.0834e-07
5821,0,1e-05,694.49,0.58573,0.098762,-2.8929e-07
5822,0,1e-05,694.37,0.57974,0.109,-1.567e-08
5823,0,1e-05,697.61,0.53498,0.1471,-1.6639e-07
5825,0,1e-05,694.98,0.58395,0.12702,1.2612e-08
5826,0,1e-05,697.1,0.55347,0.14241,2.3402e-08
5827,0,1e-05,694.96,0.57195,0.12576,-2.7525e-07
5828,0,1e-05,694.49,0.57947,0.10301,1.7724e-08
5829,0,1e-05,695.72,0.51972,0.090275,-4.0711e-07
5830,0,1e-05,697.1,0.53637,0.14323,-1.4221e-06
5831,0,1e-05,696,0.55798,0.13487,7.4807e-07
5832,0,1e-05,694.66,0.56957,0.10565,7.8161e-07
5833,0,1e-05,697.54,0.52208,0.14677,3.4406e-07
5834,0,1e-05,696.61,0.54662,0.13896,7.7867e-09
5835,0,1e-05,695.52,0.55444,0.13092,-2.8793e-07
5836,0,1e-05,695.49,0.55123,0.13047,-1.6905e-07
5837,0,1e-05,695.12,0.55006,0.1253,1.1102e-07
5838,0,1e-05,695.46,0.53735,0.098668,-8.6829e-07
5839,0,1e-05,695.72,0.49008,0.095049,8.6486e-07
5840,0,1e-05,695.27,0.54872,0.12808,8.1375e-07
5841,0,1e-05,694.88,0.52994,0.11654,9.1169e-07
5842,0,1e-05,694.97,0.54117,0.12027,3.2162e-07
