origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel,cluster,nodeCluster
3262,3.2775e-08,233.98,32.775,5.506,0.86308,5.646299999999999e-09,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.8499678744893068,0.14987227474129425,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.8110299052167534,0.2951907506073045,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.7474492026751233,0.4315400048898392,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.6611576343377559,0.5547771344935749,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.5547771258429416,0.6611576415964993,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.4315399951101608,0.7474492083214233,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.2951907399957318,0.8110299090790499,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.14987226362025427,0.8499678764502462,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-5.6462999471515906e-09,0.86308,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.14987227474129422,0.8499678744893068,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.2951907506073045,0.8110299052167534,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.4315400048898391,0.7474492026751233,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.5547771344935751,0.6611576343377559,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.6611576415964991,0.5547771258429417,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.7474492083214234,0.4315399951101607,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.8110299090790499,0.2951907399957319,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.8499678764502462,0.14987226362025416,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.86308,-5.646299894303183e-09,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.8499678744893068,-0.14987227474129436,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.8110299052167534,-0.2951907506073045,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.7474492026751232,-0.43154000488983935,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.6611576343377559,-0.5547771344935749,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.5547771258429417,-0.6611576415964991,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.4315399951101611,-0.7474492083214231,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.2951907399957316,-0.8110299090790501,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,-0.1498722636202542,-0.8499678764502462,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,5.6462998414547745e-09,-0.86308,1,2,2
3262,3.2775e-08,233.98,32.775,5.506,0.14987227474129391,-0.8499678744893069,1,2,2
