,Points:0,Points:1,Points:2
0,0.18548,0.20988,0.0018315999999999999
1,0.18548,0.20637339719998748,0.038249053409152495
2,0.18548,0.1965962431560312,0.07350432868542282
3,0.18548,0.180845611746278,0.10652621212957157
4,0.18548,0.15960007793590925,0.1363113505230276
5,0.18548,0.13350517651899418,0.161954737507713
6,0.18548,0.10335378787042845,0.182677211746278
7,0.18548,0.07006204667695991,0.19784913134506174
8,0.18548,0.0346415056483182,0.20700950520441697
9,0.18548,-0.001831599999999987,0.20988
10,0.18548,-0.038249053409152495,0.20637339719998748
11,0.18548,-0.07350432868542282,0.1965962431560312
12,0.18548,-0.10652621212957154,0.180845611746278
13,0.18548,-0.13631135052302762,0.15960007793590925
14,0.18548,-0.16195473750771297,0.13350517651899418
15,0.18548,-0.182677211746278,0.10335378787042841
16,0.18548,-0.19784913134506174,0.07006204667695992
17,0.18548,-0.20700950520441697,0.03464150564831817
18,0.18548,-0.20988,-0.001831599999999974
19,0.18548,-0.20637339719998748,-0.03824905340915253
20,0.18548,-0.1965962431560312,-0.07350432868542281
21,0.18548,-0.180845611746278,-0.10652621212957161
22,0.18548,-0.15960007793590925,-0.1363113505230276
23,0.18548,-0.13350517651899418,-0.16195473750771297
24,0.18548,-0.10335378787042852,-0.18267721174627796
25,0.18548,-0.07006204667695985,-0.19784913134506177
26,0.18548,-0.03464150564831818,-0.20700950520441697
27,0.18548,0.0018315999999999613,-0.20988
28,0.18548,0.03824905340915242,-0.2063733971999875
29,0.18548,0.07350432868542288,-0.19659624315603116
30,0.18548,0.10652621212957161,-0.180845611746278
31,0.18548,0.1363113505230276,-0.15960007793590927
32,0.18548,0.16195473750771294,-0.1335051765189942
33,0.18548,0.18267721174627793,-0.10335378787042852
34,0.18548,0.19784913134506177,-0.07006204667695985
35,0.18548,0.20700950520441697,-0.034641505648318194
36,0.18548,0.20988,0.0018315999999999485
37,0.18548,0.20988,-0.0018315999999999999
38,0.18548,0.20700950520441697,0.03464150564831818
39,0.18548,0.19784913134506177,0.07006204667695988
40,0.18548,0.182677211746278,0.10335378787042841
41,0.18548,0.161954737507713,0.13350517651899416
42,0.18548,0.13631135052302762,0.15960007793590925
43,0.18548,0.10652621212957161,0.180845611746278
44,0.18548,0.07350432868542285,0.19659624315603116
45,0.18548,0.038249053409152516,0.20637339719998748
46,0.18548,0.0018316000000000126,0.20988
47,0.18548,-0.03464150564831818,0.20700950520441697
48,0.18548,-0.07006204667695988,0.19784913134506177
49,0.18548,-0.10335378787042838,0.182677211746278
50,0.18548,-0.13350517651899418,0.161954737507713
51,0.18548,-0.15960007793590922,0.13631135052302762
52,0.18548,-0.180845611746278,0.10652621212957157
53,0.18548,-0.19659624315603116,0.07350432868542287
54,0.18548,-0.20637339719998748,0.03824905340915249
55,0.18548,-0.20988,0.0018316000000000257
56,0.18548,-0.20700950520441697,-0.034641505648318215
57,0.18548,-0.19784913134506177,-0.07006204667695987
58,0.18548,-0.182677211746278,-0.10335378787042845
59,0.18548,-0.161954737507713,-0.13350517651899416
60,0.18548,-0.13631135052302762,-0.15960007793590922
61,0.18548,-0.10652621212957168,-0.18084561174627797
62,0.18548,-0.0735043286854228,-0.1965962431560312
63,0.18548,-0.038249053409152495,-0.20637339719998748
64,0.18548,-0.0018316000000000384,-0.20988
65,0.18548,0.034641505648318104,-0.207009505204417
66,0.18548,0.07006204667695994,-0.19784913134506174
67,0.18548,0.10335378787042845,-0.182677211746278
68,0.18548,0.13350517651899416,-0.16195473750771303
69,0.18548,0.1596000779359092,-0.13631135052302765
70,0.18548,0.18084561174627795,-0.10652621212957168
71,0.18548,0.1965962431560312,-0.0735043286854228
72,0.18548,0.20637339719998748,-0.03824905340915251
73,0.18548,0.20988,-0.0018316000000000512
74,0.17759,0.21025,-0.0018348
75,0.17759,0.20737443974720002,0.034702604089245304
76,0.17759,0.19819791207921117,0.07018558711360386
77,0.17759,0.18299924114567825,0.10353601658913629
78,0.17759,0.162240230872018,0.13374055659236017
79,0.17759,0.13655163328082962,0.15988145745951227
80,0.17759,0.10671398341086372,0.1811644411456782
81,0.17759,0.07363388315483986,0.19694283496126327
82,0.17759,0.03831645461969892,0.20673722039443346
83,0.17759,0.0018348000000000127,0.21025
84,0.17759,-0.0347026040892453,0.20737443974720002
85,0.17759,-0.07018558711360386,0.19819791207921117
86,0.17759,-0.10353601658913626,0.18299924114567825
87,0.17759,-0.1337405565923602,0.162240230872018
88,0.17759,-0.15988145745951224,0.13655163328082962
89,0.17759,-0.18116444114567823,0.10671398341086367
90,0.17759,-0.19694283496126327,0.07363388315483987
91,0.17759,-0.20673722039443346,0.03831645461969889
92,0.17759,-0.21025,0.0018348000000000257
93,0.17759,-0.20737443974720002,-0.03470260408924533
94,0.17759,-0.19819791207921117,-0.07018558711360384
95,0.17759,-0.18299924114567823,-0.10353601658913633
96,0.17759,-0.162240230872018,-0.13374055659236017
97,0.17759,-0.13655163328082962,-0.15988145745951224
98,0.17759,-0.10671398341086379,-0.18116444114567817
99,0.17759,-0.07363388315483979,-0.1969428349612633
100,0.17759,-0.0383164546196989,-0.20673722039443346
101,0.17759,-0.0018348000000000385,-0.21025
102,0.17759,0.03470260408924523,-0.20737443974720005
103,0.17759,0.07018558711360391,-0.19819791207921114
104,0.17759,0.10353601658913633,-0.18299924114567823
105,0.17759,0.13374055659236017,-0.162240230872018
106,0.17759,0.1598814574595122,-0.13655163328082964
107,0.17759,0.18116444114567815,-0.10671398341086379
108,0.17759,0.1969428349612633,-0.0736338831548398
109,0.17759,0.20673722039443346,-0.03831645461969891
110,0.17759,0.21025,-0.0018348000000000513
111,0.17759,0.21025,0.0018348
112,0.17759,0.20673722039443346,0.0383164546196989
113,0.17759,0.1969428349612633,0.07363388315483983
114,0.17759,0.18116444114567823,0.10671398341086367
115,0.17759,0.15988145745951227,0.1365516332808296
116,0.17759,0.1337405565923602,0.162240230872018
117,0.17759,0.10353601658913633,0.18299924114567823
118,0.17759,0.07018558711360388,0.19819791207921114
119,0.17759,0.03470260408924532,0.20737443974720002
120,0.17759,-0.0018347999999999871,0.21025
121,0.17759,-0.038316454619698896,0.20673722039443346
122,0.17759,-0.07363388315483983,0.1969428349612633
123,0.17759,-0.10671398341086365,0.18116444114567823
124,0.17759,-0.13655163328082962,0.15988145745951227
125,0.17759,-0.16224023087201797,0.1337405565923602
126,0.17759,-0.18299924114567825,0.10353601658913629
127,0.17759,-0.19819791207921114,0.0701855871136039
128,0.17759,-0.20737443974720002,0.03470260408924529
129,0.17759,-0.21025,-0.0018347999999999741
130,0.17759,-0.20673722039443346,-0.03831645461969893
131,0.17759,-0.1969428349612633,-0.07363388315483982
132,0.17759,-0.1811644411456782,-0.10671398341086372
133,0.17759,-0.15988145745951227,-0.1365516332808296
134,0.17759,-0.1337405565923602,-0.16224023087201797
135,0.17759,-0.1035360165891364,-0.1829992411456782
136,0.17759,-0.07018558711360381,-0.19819791207921117
137,0.17759,-0.034702604089245304,-0.20737443974720002
138,0.17759,0.0018347999999999613,-0.21025
139,0.17759,0.03831645461969883,-0.20673722039443349
140,0.17759,0.07363388315483989,-0.19694283496126327
141,0.17759,0.10671398341086372,-0.1811644411456782
142,0.17759,0.1365516332808296,-0.15988145745951227
143,0.17759,0.16224023087201794,-0.13374055659236023
144,0.17759,0.18299924114567817,-0.1035360165891364
145,0.17759,0.19819791207921117,-0.07018558711360383
146,0.17759,0.20737443974720002,-0.03470260408924531
147,0.17759,0.21025,0.0018347999999999485
148,0.19337000000000001,0.20955,0.0018287
149,0.19337000000000001,0.20604891422120866,0.03818889356803867
150,0.19337000000000001,0.19628713644958745,0.07338873692952506
151,0.19337000000000001,0.1805612733630291,0.10635870065590058
152,0.19337000000000001,0.15934914735374806,0.13609700908294597
153,0.19337000000000001,0.13329527813668265,0.1617000787574156
154,0.19337000000000001,0.10319129934409942,0.18238997336302912
155,0.19337000000000001,0.0699519051382627,0.1975380409217867
156,0.19337000000000001,0.03458705769217184,0.20668401506620768
157,0.19337000000000001,-0.0018286999999999872,0.20955
158,0.19337000000000001,-0.038188893568038666,0.20604891422120866
159,0.19337000000000001,-0.07338873692952506,0.19628713644958745
160,0.19337000000000001,-0.10635870065590056,0.1805612733630291
161,0.19337000000000001,-0.136097009082946,0.15934914735374806
162,0.19337000000000001,-0.16170007875741557,0.13329527813668265
163,0.19337000000000001,-0.18238997336302912,0.10319129934409937
164,0.19337000000000001,-0.1975380409217867,0.06995190513826272
165,0.19337000000000001,-0.20668401506620768,0.03458705769217181
166,0.19337000000000001,-0.20955,-0.0018286999999999744
167,0.19337000000000001,-0.20604891422120866,-0.0381888935680387
168,0.19337000000000001,-0.19628713644958745,-0.07338873692952506
169,0.19337000000000001,-0.1805612733630291,-0.10635870065590063
170,0.19337000000000001,-0.15934914735374806,-0.13609700908294597
171,0.19337000000000001,-0.13329527813668265,-0.16170007875741557
172,0.19337000000000001,-0.10319129934409949,-0.1823899733630291
173,0.19337000000000001,-0.06995190513826265,-0.19753804092178673
174,0.19337000000000001,-0.034587057692171824,-0.20668401506620768
175,0.19337000000000001,0.0018286999999999613,-0.20955
176,0.19337000000000001,0.0381888935680386,-0.2060489142212087
177,0.19337000000000001,0.07338873692952513,-0.19628713644958742
178,0.19337000000000001,0.10635870065590063,-0.1805612733630291
179,0.19337000000000001,0.13609700908294597,-0.15934914735374808
180,0.19337000000000001,0.16170007875741554,-0.13329527813668268
181,0.19337000000000001,0.18238997336302906,-0.10319129934409949
182,0.19337000000000001,0.19753804092178673,-0.06995190513826266
183,0.19337000000000001,0.20668401506620768,-0.03458705769217184
184,0.19337000000000001,0.20955,0.0018286999999999486
185,0.19337000000000001,0.20955,-0.0018287
186,0.19337000000000001,0.20668401506620768,0.034587057692171824
187,0.19337000000000001,0.19753804092178673,0.06995190513826267
188,0.19337000000000001,0.18238997336302912,0.10319129934409937
189,0.19337000000000001,0.1617000787574156,0.13329527813668263
190,0.19337000000000001,0.136097009082946,0.15934914735374806
191,0.19337000000000001,0.10635870065590063,0.1805612733630291
192,0.19337000000000001,0.07338873692952509,0.19628713644958742
