origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel,cluster,nodeCluster
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.90775,5.063300000000001e-09,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.8939592369175989,0.1576291382635331,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.8530059747866577,0.3104687898618214,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.7861345577536741,0.4538750043849463,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.6953768399866258,0.5834904565716688,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.5834904488142433,0.6953768464958787,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.4538749956150537,0.7861345628169741,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.31046878034593023,0.8530059782501589,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,0.157629128290779,0.8939592386760645,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-5.063299944416344e-09,0.90775,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.15762913826353306,0.8939592369175989,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.3104687898618214,0.8530059747866577,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.4538750043849462,0.7861345577536741,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.5834904565716689,0.6953768399866258,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.6953768464958786,0.5834904488142434,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.7861345628169741,0.4538749956150535,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.8530059782501589,0.3104687803459303,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.8939592386760645,0.15762912829077885,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.90775,-5.063299888832689e-09,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.8939592369175989,-0.15762913826353322,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.8530059747866577,-0.31046878986182136,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.7861345577536741,-0.4538750043849465,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.6953768399866258,-0.5834904565716688,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.5834904488142434,-0.6953768464958786,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.4538749956150539,-0.786134562816974,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.31046878034592995,-0.853005978250159,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,-0.1576291282907789,-0.8939592386760645,1,2,17
2905,8.2282e-08,500.0,82.28200000000002,4.7309,5.063299833249031e-09,-0.90775,1,2,17
