cluster,temperature,particles,volumes,distance
1,242.21,48670,29534524109.347687,11.591
2,303.029,646,341482817.89318985,0.79
3,344.08,76,37924013.51943899,0.127
4,335.15,38,18781428.591210563,0.135
5,325.65,38,18636714.0833923,0.142
all,243.296,49468,29951349083.43463,13.38
