cluster,temperature,particles,volumes,distance
1,273.584,3002,1711012388.012913,2.119
2,317.54,76,41860023.942062646,0.14
3,342.76,114,57467253.285069786,0.178
4,335.52,38,18708978.05648234,0.135
5,346.4,38,18333040.683396894,0.128
6,334.88,38,18465143.752913814,0.143
7,240.258,46355,28334733912.24204,9.607
all,242.853,49661,30200580739.974915,13.181
