cluster,temperature,particles,volumes,distance
1,304.339,836,449411664.10288286,0.623
2,311.735,304,161996470.1864831,0.222
3,312.391,380,190436041.0366004,0.517
4,388.56,38,21724321.98688272,0.106
5,242.592,48375,29252141558.57762,11.181
all,244.689,49933,30075710055.890503,13.262
