cluster,temperature,particles,volumes,distance
1,243.168,49978,30147542179.932117,12.455
2,315.59,38,20334641.499356996,0.137
3,335.66,38,22920067.307051312,0.127
4,348.28,38,18349518.99721701,0.132
all,243.373,50092,30209146407.735756,13.45
