cluster,temperature,particles,volumes,distance
1,307.596,1140,629708312.078076,1.008
2,319.246,190,96008208.75644682,0.336
3,241.374,44955,27198853704.08949,9.73
4,259.917,836,488184041.25744224,0.466
5,271.455,1444,840603894.8225038,0.879
all,244.447,48565,29253358161.003967,12.835
