cluster,temperature,particles,volumes,distance
1,284.757,1178,643037364.6585945,0.915
2,263.695,76,39222290.46079089,0.188
3,326.848,342,180946415.21552506,0.486
4,242.596,45389,27847300131.937267,10.945
all,244.3,46985,28710506202.272526,12.819
