cluster,temperature,particles,volumes,distance
1,243.101,49005,29395970381.69379,12.577
2,314.96,38,19174763.90477277,0.147
3,318.28,76,37278985.82837006,0.173
all,243.273,49119,29452424131.426754,13.335
