origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3598,2e-08,500,20.0,-1.962,0.96721,-6.7606e-09,0
3693,2e-08,500,20.0,-2.1607,1.0179,1.6194999999999997e-10,0
3739,2e-08,500,20.0,-2.0406,0.9737600000000001,3.9448e-09,0
3775,2e-08,500,20.0,-2.0191,0.9444299999999999,6.2048999999999995e-09,0
3777,2e-08,500,20.0,-2.0178,0.91396,2.1723e-09,0
3784,2e-08,500,20.0,-2.0005,0.72522,2.7173e-09,0
3785,2e-08,500,20.0,-2.0267,0.82584,7.2558e-10,0
3786,2e-08,500,20.0,-2.0494,0.9116799999999999,1.0134e-09,0
3787,2e-08,500,20.0,-2.0282,0.79262,4.053199999999999e-09,0
3788,2e-08,500,20.0,-2.0617,0.9213899999999999,-3.3309e-09,0
3789,2e-08,500,20.0,-2.0064,0.6865100000000001,2.0559000000000003e-09,0
3790,2e-08,500,20.0,-1.9862,0.51694,2.7269999999999998e-09,0
3791,2e-08,500,20.0,-2.0213,0.69893,3.3303e-09,0
3792,2e-08,500,20.0,-2.0178,0.64594,3.3005999999999995e-09,0
3793,2e-08,500,20.0,-1.9494,0.048661,-1.6993e-10,0
3794,2e-08,500,20.0,-2.0935,0.9699200000000001,-2.0496999999999997e-09,0
3795,2e-08,500,20.0,-2.0704,0.85609,-1.7669e-10,0
3796,2e-08,500,20.0,-2.03,0.65232,-1.0607999999999999e-09,0
3797,2e-08,500,20.0,-2.0837,0.89871,3.1626e-09,0
3798,2e-08,500,20.0,-1.9783,0.055987,8.1409e-11,0
3799,2e-08,500,20.0,-2.0038,0.37867,-6.9967e-10,0
3800,2e-08,500,20.0,-2.0684,0.7713800000000001,-3.3542e-09,0
3801,2e-08,500,20.0,-2.0529,0.64877,-2.33e-10,0
3802,2e-08,500,20.0,-2.0026,0.21247,7.099800000000001e-10,0
3803,2e-08,500,20.0,-2.1039,0.8872,2.6951e-10,0
3804,2e-08,500,20.0,-2.0192,0.34729,6.5627e-10,0
3805,2e-08,500,20.0,-2.0873,0.7740100000000001,-5.1827e-10,0
3806,2e-08,500,20.0,-2.0885,0.78285,-4.3786000000000006e-09,0
3807,2e-08,500,20.0,-2.1025,0.8249700000000001,-7.9274e-11,0
3808,2e-08,500,20.0,-2.0314,0.24884,-1.3763e-09,0
3809,2e-08,500,20.0,-2.0634,0.51653,-4.2848999999999995e-09,0
3810,2e-08,500,20.0,-2.1225,0.8905,6.1698e-09,0
3811,2e-08,500,20.0,-2.1286,0.8750899999999999,-8.1926e-10,0
3812,2e-08,500,20.0,-2.0833,0.58726,2.665e-09,0
3813,2e-08,500,20.0,-2.1137,0.76394,1.4296000000000001e-09,0
3814,2e-08,500,20.0,-2.0932,0.58968,-1.1690999999999998e-09,0
3815,2e-08,500,20.0,-2.1102,0.70972,-6.966799999999999e-10,0
3816,2e-08,500,20.0,-2.1397,0.87803,2.9337e-11,0
3817,2e-08,500,20.0,-2.1579,0.9441299999999999,4.5298999999999994e-09,0
3818,2e-08,500,20.0,-2.3464,1.0475,-3.5183e-09,0
3819,2e-08,500,20.0,-2.1404,0.8124100000000001,-6.0773e-10,0
3820,2e-08,500,20.0,-2.3668,1.0493,4.7093e-09,0
