temp,ice,water
200,0.16248073676043007,0.33184157559945465
201,0.1892902403479481,0.38300981660618394
202,0.22019325085175165,0.44139279729475056
203,0.2557635741430273,0.5079099296931701
204,0.29664810244782863,0.583584828073104
205,0.34357515709599995,0.66955556642601
206,0.3973636680940294,0.7670857798431906
207,0.45893326206268786,0.8775766636924625
208,0.5293153350181529,1.0025799266721849
209,0.6096651916563249,1.1438117560131815
210,0.7012753382292445,1.3031678552846293
211,0.8055900217845101,1.4827396174347218
212,0.924221114477535,1.6848314978543062
213,1.0589654478661887,1.9119796543853957
214,1.2118237085611345,2.1669719232983153
215,1.3850210133358198,2.4528692023261893
216,1.5810292887998314,2.773028313863978
217,1.8025915880098629,3.1311264234061174
218,2.052748483935306,3.5311870902035505
219,2.334866687510231,3.977608028959695
220,2.652670046091114,4.475190663150627
221,3.010273086498158,5.029171552236615
222,3.41221727544709,5.645255776626358
223,3.863510179073932,6.329652365751283
224,4.369667712416858,7.089111856001579
225,4.93675967913984,7.930966066557262
226,5.571458811461078,8.863170182313066
227,6.281093530176602,9.894347234136543
228,7.073704654842339,11.03383506760925
229,7.958106304586837,12.291735892173936
230,8.94395124066536,13.678968503241917
231,10.041800912724517,15.207323270295934
232,11.263200481814689,16.889519984354624
233,12.620759104455747,18.739268658331493
234,14.128235773516796,20.77133337383093
235,15.800631023301479,23.001599267761748
236,17.65428481802238,25.44714275181506
237,19.706980954786417,28.126305057349338
238,21.978058324285733,31.058769197536908
239,24.488529384572498,34.26564043776477
240,27.261206215581606,37.76953036422977
241,30.320834534429082,41.59464463944455
242,33.6942360639403,45.76687453194153
243,37.410459659326264,50.313892305872585
244,41.50094161041539,55.265250554402655
245,45.999675549333304,60.652485558825745
246,50.94339240598595,66.50922475316925
247,56.37175086611445,72.87129837171481
248,62.32753879904119,79.77685535432545
249,68.85688613447036,87.26648358178184
250,76.0094896798398,95.38333451043054
251,83.83885038170594,104.17325227240607
252,92.40252354644699,113.68490730445092
253,101.76238254718993,123.96993456497833
254,111.98489655523932,135.08307639545902
255,123.14142284542173,147.0823300785107
256,135.3085142355912,160.02910014121298
257,148.56824223107733,173.9883554481571
258,163.0085364550387,189.02879112460354
259,178.72354095549215,205.2229953458498
260,195.81398798920335,222.64762102450416
261,214.38758989159092,241.38356242284522
262,234.55944965031844,261.51613671282456
263,256.4524908082503,283.13527050154624
264,280.1979073289515,306.33569133520535
265,305.93563406484435,331.2171241896165
266,333.8148384744863,357.8844929504045
267,363.99443424116026,386.44812688093555
268,396.643617450073,417.0239720709404
269,431.9424259858522,449.7338078535984
270,470.08232281575334,484.70546817366215
271,511.266803826945,522.0730678839847
272,555.7120308884655,561.9772339425299
273,603.6474908098423,604.5653414767004
274,655.3166808689675,649.9917546765134
275,710.977821581589,698.4180724729459
276,770.9045973835988,750.0133789524644
277,835.3869258953505,804.9544984535837
278,904.7317564342292,863.4262552860527
279,979.2638984378086,925.6217380082143
280,1059.32688045508,991.7425681928906
281,1145.2838403573699,1061.9991736071722
282,1237.5184474136563,1136.6110657266022
283,1336.4358568670941,1215.8071214991983
284,1442.4636976406146,1299.8258692701625
285,1556.0530937893234,1388.9157787733175
286,1677.6797203064523,1483.335555090751
287,1807.8448938771653,1583.3544364776926
288,1947.0766991613434,1689.252495945363
289,2095.9311511718374,1801.3209464900922
290,2254.9933942991693,1919.8624498532301
291,2424.8789385166488,2045.1914286922038
292,2606.234933282229,2177.6343820392717
293,2799.7414796339203,2317.5302039211024
294,3006.112980955582,2465.230505008526
295,3226.099532868183,2621.0999371627413
296,3460.4883526791073,2785.516520740931
297,3710.105248798115,2958.871974521458
298,3975.8161305035183,3141.572048105705
299,4258.528558415896,3334.0368566514653
