Timesteps,TotalParticles,noIce,Ice,NewIce,TotalIcePercentage,Temp,TotalNonIce,newIcePercentage
0.06,424,419,5,5,1.18,601.78,424,1.18
0.07,849,695,154,149,18.14,456.71,844,17.65
0.08,1274,715,559,405,43.88,385.37,1120,36.16
0.09,1701,961,740,403,43.5,348.25,1142,35.29
0.1,2125,1384,741,424,34.87,323.24,1385,30.61
0.11,2217,1465,752,413,33.92,318.09,1476,27.98
0.12,2211,1481,730,442,33.02,317.22,1459,30.29
0.13,2210,1483,727,427,32.9,318.84,1480,28.85
0.14,2202,1441,761,391,34.56,319.95,1475,26.51
0.15,2207,1452,755,436,34.21,320.23,1446,30.15
0.16,2201,1463,738,444,33.53,318.31,1446,30.71
0.17,2206,1460,746,427,33.82,319.69,1468,29.09
0.18,2231,1482,749,424,33.57,318.65,1485,28.55
0.19,2229,1499,730,446,32.75,318.17,1480,30.14
0.2,2218,1456,762,390,34.36,318.81,1488,26.21
