temperature,pressure
586.903,577.761
586.505,576.524
586.768,574.484
586.372,576.07
586.28,575.757
585.932,573.588
587.472,579.998
587.457,579.944
586.338,575.906
586.0,573.974
586.333,575.907
586.788,577.598
586.96,578.195
586.713,577.332
586.454,576.42
586.529,576.685
586.259,575.44
586.94,578.118
586.792,577.596
586.393,575.626
586.526,576.668
586.762,577.489
586.484,576.509
586.429,576.264
586.67,577.162
586.672,577.17
586.535,576.365
586.494,576.534
586.496,576.465
586.56,576.78
586.534,576.686
586.596,576.902
586.53,576.67
586.537,576.656
586.562,576.781
586.58,576.842
586.545,576.724
586.552,576.731
586.575,576.826
586.554,576.756
586.561,576.778
586.662,576.755
586.561,576.78
586.562,576.784
597.788,608.825
594.785,602.048
595.341,604.041
594.745,603.747
594.411,602.53
595.341,604.041
591.952,595.721
593.199,599.862
594.855,604.148
595.833,605.725
593.022,599.653
593.91,602.269
593.022,599.653
594.535,603.932
594.638,604.305
593.082,599.929
596.09,606.558
596.221,606.964
593.767,602.239
594.839,605.011
594.934,605.337
596.633,608.087
595.024,605.635
593.149,600.22
597.889,608.757
593.323,600.839
595.8,607.242
593.85,602.638
593.195,600.376
592.845,599.131
594.168,603.653
593.198,600.39
594.462,604.449
597.88,608.635
593.68,602.065
594.456,604.419
595.796,607.145
593.449,601.261
595.796,607.145
593.84,602.539
592.651,598.436
592.499,597.897
595.152,605.839
593.102,600.023
596.468,607.449
593.199,600.343
594.889,604.889
594.013,602.791
595.271,605.268
595.271,605.268
593.411,600.864
593.239,600.249
591.735,595.139
595.643,604.77
593.108,599.615
591.86,595.592
591.402,593.968
541.752,422.207
544.114,434.197
551.318,453.198
549.128,444.947
546.544,443.344
551.464,451.895
551.336,451.878
552.472,455.652
560.571,480.918
555.004,464.212
555.559,465.559
576.029,534.443
562.709,489.452
575.509,533.249
575.198,532.913
571.923,521.757
573.352,527.261
576.396,537.376
574.708,531.933
589.643,582.134
582.994,560.033
577.961,543.99
582.471,558.679
582.471,558.679
581.251,555.715
583.813,565.015
582.693,560.443
583.06,562.247
593.056,592.769
584.727,568.651
586.772,575.615
588.563,582.129
588.156,581.307
589.341,585.514
590.881,590.129
594.781,599.099
591.694,592.495
589.194,585.363
592.611,594.014
591.543,592.643
592.922,595.229
589.358,586.017
590.186,588.981
589.604,586.952
592.644,595.992
591.79,594.227
593.542,597.499
590.644,590.81
593.18,597.924
591.33,593.341
