X1,Y1,X2,Y2
7.3373,0.25594,7.3373,0.20057
4.0283,5.974799999834391e-07,4.0283,-5.974799999944798e-07
7.032,-0.1361,7.032,-0.20057
12.76,0.5021899999999999,12.76,0.6450899999999999
10.062,1.2128999999998368e-08,10.062,1.555486019699859e-06
14.077,-0.72219,14.077,-0.62845
12.894,0.42682,12.894,0.5021899999999999
11.984000000000002,-4.193800000481984e-09,11.984000000000002,0.00045561395847573634
16.0,-0.13067240868514418,16.0,-0.13067131352932632
6.4743,0.27721,6.4743,0.19996
11.179,0.53614,11.179,0.29015
13.375,-0.5985278772375522,13.375,-0.6272634200686911
7.6601,0.2007,7.6601,0.20159
12.65,0.6450899999999999,12.65,0.5916899999999999
13.587,-0.5080600000000001,13.587,-0.47935
5.8465,-0.17574,5.8465,-0.21108
15.352,-0.67984,15.352,-0.7319
4.4863,-0.07394500000000001,4.4863,-0.090421
16.0,0.08528926225027902,16.0,0.08529073774972099
10.651,-0.34411,10.651,-0.29336
4.0283,0.0579494164674464,4.0283,0.04507751743285826
4.0283,0.08471684418413755,4.0283,0.07807595299278226
4.6803,-0.090421,4.6803,-0.096746
15.638,-0.69693,15.638,-0.68734
5.9347,-0.21108,5.9347,-0.14442
5.6241,0.16432,5.6241,0.14364000000000002
9.4379,0.30633,9.4379,0.3138
12.037,-0.48089,12.037,-0.5916899999999999
15.986,0.3092905476616355,15.986,0.349657676072967
5.5303,-0.14364000000000002,5.5303,-0.16432
14.699000000000002,0.65868,14.699000000000002,0.62845
13.375,0.6272634200686911,13.375,0.5985278772375522
4.0283,0.015655666212320674,4.0283,0.015654489406448174
12.125,0.0026320837282297702,12.125,0.0026727
4.0283,-0.06906235477768938,4.0283,-0.07807535551278227
16.0,0.16798835858141284,16.0,0.16798865443623204
4.0283,0.08471725288452803,4.0283,0.08471684418413755
15.986,-0.3794008404368392,15.986,-0.3496578374829671
4.0283,-0.015655666212320705,4.0283,-0.03083392255383525
7.6110000000000015,0.20159,7.6110000000000015,0.25754
15.986,-0.2595256210581739,15.986,-0.2595253737637067
10.212,0.21566,10.212,0.20879
10.062,-1.555486019699862e-06,10.062,1.2128999999998368e-08
15.986,0.39761615830723135,15.986,0.40375
14.932,-0.79825,14.932,-0.63135
15.986,0.40375,15.986,0.4249600000000001
10.062,1.555486019699859e-06,10.062,-1.555486019699862e-06
15.638,0.69693,15.638,0.7319
4.0283,-0.08471725288452801,4.0283,-0.0887842544137494
4.7927,0.096746,4.7927,0.090421
8.2716,-0.21356,8.2716,-0.24823
12.474,-0.5916899999999999,12.474,-0.6450899999999999
9.1187,0.24221,9.1187,0.23462
12.65,-0.6450899999999999,12.65,-0.5021899999999999
10.458,-0.28493,10.458,-0.34411
9.1991,-8.0231e-08,9.1991,6.132916449571537e-08
4.0283,-0.030835045448929406,4.0283,-0.04507648256714178
15.139,0.010546169076706802,15.139,0.009719404870272756
4.9369,-0.11449,4.9369,-0.11154
5.5303,0.14364000000000002,5.5303,0.1402
4.0283,0.07807535551278229,4.0283,0.06906235477768936
15.707,-0.68734,15.707,-0.5963
15.352,0.67984,15.352,0.63135
16.0,0.02962174508445355,16.0,0.05834099554314279
13.818,0.47935,13.818,0.5080600000000001
4.0283,0.08878446191637579,4.0283,0.0887842544137494
16.0,0.17057999999999998,16.0,0.25952537376370666
4.0283,0.090154,4.0283,0.08878446191637579
16.0,-8.51879999989555e-07,16.0,8.518799999686648e-07
12.894,-0.42682,12.894,-0.38224
4.0283,-0.04507648256714178,4.0283,-0.04507751743285823
4.0283,0.0690615866722073,4.0283,0.05795033185991413
4.0283,-0.07807595299278229,4.0283,-0.08471684418413755
4.0283,0.04507751743285826,4.0283,0.04507648256714175
4.2004,0.12808,4.2004,0.090154
15.181,-0.63135,15.181,-0.67984
10.651,0.34411,10.651,0.28493
15.707,0.68734,15.707,0.69693
11.702,-0.48382,11.702,-0.48089
13.375,-0.6272634200686911,13.375,-0.6272634803385005
15.986,0.3976161022501266,15.986,0.39761615830723135
4.0283,0.04507648256714175,4.0283,0.03083504544892943
8.0532,-0.21316,8.0532,-0.21356
10.889,-0.29015,10.889,-0.53614
15.986,0.25952537376370666,15.986,0.25952562105817384
4.0283,-0.015654489406448167,4.0283,-0.015655666212320705
13.375,-0.5985277585292007,13.375,-0.5985278772375522
5.0137,0.11154,5.0137,0.11449
16.0,-0.13067131352932632,16.0,-0.10964736303827008
8.2716,0.21356,8.2716,0.21316
16.0,0.16029247589354054,16.0,0.16029305861377993
4.0283,-0.04507751743285823,4.0283,-0.05794941646744641
16.0,0.13067131352932632,16.0,0.13067240868514415
13.587,0.5080600000000001,13.587,0.63694
4.0283,0.030833922553835283,4.0283,0.015655666212320674
6.3521,0.19996,6.3521,0.15911
4.6803,0.090421,4.6803,0.07394500000000001
11.46,0.4366100000000001,11.46,0.53614
16.0,0.10964736303827004,16.0,0.13067131352932632
16.0,-0.16798835858141284,16.0,-0.16029305861377993
6.0743,-0.14442,6.0743,-0.15911
10.172,-0.20879,10.172,-0.21566
16.0,0.0583425965538424,16.0,0.08528926225027902
14.699000000000002,-0.65868,14.699000000000002,-0.79825
10.26,0.21106,10.26,0.21566
9.7438,-0.3344,9.7438,-0.21331
4.0283,-0.08878446191637579,4.0283,-0.090154
6.7409,-0.20243,6.7409,-0.18917
4.0283,0.06906235477768936,4.0283,0.0690615866722073
15.986,0.37940095084778186,15.986,0.3976161022501266
16.0,-0.10964736303827008,16.0,-0.1096460578823897
4.0283,-0.03083392255383525,4.0283,-0.030835045448929406
15.986,-0.37940095084778186,15.986,-0.3794008404368392
9.1991,6.132916449571537e-08,9.1991,8.0231e-08
4.0283,-0.0690615866722073,4.0283,-0.06906235477768938
5.0746,-0.12361,5.0746,-0.15391
9.0946,-0.23462,9.0946,-0.24221
10.795,0.29336,10.795,0.34411
4.3209,-0.08655,4.3209,-0.093316
7.032,0.1361,7.032,0.16975
13.818,-0.47935,13.818,-0.72219
12.986,-0.38224,12.986,-0.5985277585292007
6.4743,-0.27721,6.4743,-0.20243
9.483,-0.29303,9.483,-0.3344
4.0283,0.0887842544137494,4.0283,0.08471725288452803
8.9223,0.24897,8.9223,0.25201
9.7438,0.3344,9.7438,0.29303
4.0283,0.015654489406448174,4.0283,5.974799999834391e-07
9.483,0.29303,9.483,0.30633
4.0283,-0.0887842544137494,4.0283,-0.08878446191637579
8.5492,0.24718,8.5492,0.24823
4.0283,-0.08471684418413755,4.0283,-0.08471725288452801
