cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,19,230.089,477,0.0002600287216079568,5.182
2,20,242.774,50747,0.030216258220068258,12.014
3,21,314.359,570,0.0002900523231508021,1.098
all,all,243.445,51794,0.030766339264827375,13.375
