cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,35,230.115,1870,0.0010228482153946076,6.106
2,36,242.21,48670,0.029534524109348224,11.591
3,37,303.029,646,0.00034148281789319105,0.79
4,38,344.08,76,3.792401351943897e-05,0.127
5,39,325.65,38,1.863671408339229e-05,0.142
6,40,335.15,38,1.878142859121056e-05,0.135
all,all,242.816,51338,0.030974197298831285,13.38
