cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,32,230.162,1466,0.0007835481256896698,7.085
2,33,243.679,50328,0.030419473878659144,12.298
3,34,303.685,76,4.0045192494438426e-05,0.187
all,all,243.385,51870,0.031243067196843298,12.587
