cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,47,230.007,2219,0.0011839219059046541,6.877
2,48,243.101,49005,0.029395970381694676,12.577
3,49,318.28,76,3.7278985828370025e-05,0.173
4,50,314.96,38,1.9174763904772785e-05,0.147
all,all,242.7,51338,0.03063634603733304,13.335
