cluster,temperature,ice_particles,ice_mass,ice_length
1,230.042,1778,0.0010165112919498802,6.106
2,243.168,49978,0.03014754217993203,12.455
3,315.59,38,2.033464149935698e-05,0.137
4,335.66,38,2.292006730705135e-05,0.127
5,348.28,38,1.834951899721701e-05,0.132
all,242.916,51870,0.03122565769968574,13.45
