cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,1,232.657,2225,0.001195008086458416,13.162
2,2,242.596,45389,0.027847300131938306,10.945
3,3,284.757,1178,0.0006430373646585895,0.915
4,4,326.848,342,0.00018094641521552364,0.486
5,5,263.695,76,3.922229046079093e-05,0.188
all,all,243.774,49210,0.029905514288731647,13.42
