cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,26,230.116,1709,0.0009381864950750611,6.821
2,27,242.592,48375,0.02925214155857783,11.181
3,28,304.339,836,0.00044941166410288443,0.623
4,29,312.391,380,0.00019043604103660084,0.517
5,30,311.735,304,0.00016199647018648252,0.222
6,31,388.56,38,2.172432198688273e-05,0.106
all,all,244.207,51642,0.031013896550965328,13.307
