cluster,temperature,ice_particles,ice_mass,ice_length
1,275.904,4788,0.002688648030895075,4.491
2,294.62,76,5.975932236434937e-05,0.077
3,315.055,76,6.137248994193198e-05,0.065
4,344.7,38,3.409309109298345e-05,0.027
all,277.313,4978,0.0028438729342943224,4.491
