"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3693,2e-08,500,20,-2.0353,0.98218,3.0404e-09
3739,2e-08,500,20,-2.0662,0.99086,2.1748e-09
3775,2e-08,500,20,-2.0232,0.94327,-4.4776e-09
3777,2e-08,500,20,-2.0197,0.90641,2.5556e-09
3779,2e-08,500,20,-1.9797,0.71076,1.5433e-09
3784,2e-08,500,20,-2.0007,0.72438,2.5051e-09
3785,2e-08,500,20,-2.0279,0.83342,2.7158e-14
3786,2e-08,500,20,-2.0536,0.92019,-2.8146e-09
3787,2e-08,500,20,-2.0263,0.79275,2.095e-09
3788,2e-08,500,20,-2.0557,0.92432,-8.0624e-09
3789,2e-08,500,20,-2.0082,0.69414,5.6051e-10
3790,2e-08,500,20,-1.9797,0.52558,-5.9463e-10
3791,2e-08,500,20,-2.0161,0.69402,1.9554e-09
3792,2e-08,500,20,-2.0122,0.63676,-2.291e-09
3793,2e-08,500,20,-1.9487,0.050917,-3.0899e-11
3794,2e-08,500,20,-2.0885,0.96875,-1.7557e-09
3795,2e-08,500,20,-2.0653,0.86045,-2.1153e-09
3796,2e-08,500,20,-2.0281,0.64521,-1.5015e-09
3797,2e-08,500,20,-2.0832,0.89961,-5.7345e-09
3798,2e-08,500,20,-1.973,0.054694,-1.2037e-10
3799,2e-08,500,20,-2,0.36146,-2.6176e-09
3800,2e-08,500,20,-2.0655,0.76836,-3.7543e-09
3801,2e-08,500,20,-2.0487,0.63805,5.4288e-09
3802,2e-08,500,20,-1.9988,0.21919,-3.1461e-10
3803,2e-08,500,20,-2.103,0.88936,-2.429e-09
3804,2e-08,500,20,-2.0165,0.35807,8.5135e-10
3805,2e-08,500,20,-2.0877,0.77874,-9.294e-10
3806,2e-08,500,20,-2.092,0.78735,3.449e-09
3807,2e-08,500,20,-2.1047,0.83383,-2.6727e-11
3808,2e-08,500,20,-2.0284,0.23881,4.1965e-10
3809,2e-08,500,20,-2.0606,0.51315,3.6391e-10
3810,2e-08,500,20,-2.1227,0.89143,-2.5989e-09
3811,2e-08,500,20,-2.1238,0.88088,4.6031e-09
3812,2e-08,500,20,-2.0813,0.58846,6.4777e-10
3813,2e-08,500,20,-2.1116,0.76952,3.0664e-10
3814,2e-08,500,20,-2.0936,0.59289,-1.8275e-09
3815,2e-08,500,20,-2.1131,0.72027,-3.5315e-09
3816,2e-08,500,20,-2.145,0.88186,6.1119e-09
3817,2e-08,500,20,-2.1591,0.94432,-2.988e-09
