"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3644,2e-08,695.52,20,-2.0245,0.98613,4.9462e-09
3727,2e-08,695.25,20,-1.8571,0.89006,4.4303e-09
3735,2e-08,695.21,20,-1.8685,0.83826,3.6737e-09
3738,2e-08,695.39,20,-1.931,0.94018,2.0397e-09
3741,2e-08,695.17,20,-1.8693,0.77846,-4.7022e-09
3742,2e-08,695.04,20,-1.8281,0.64184,-3.4406e-10
3743,2e-08,695.07,20,-1.849,0.68002,2.5721e-09
3744,2e-08,695.27,20,-1.9057,0.86452,3.3194e-09
3745,2e-08,695.34,20,-1.9291,0.91829,-1.7671e-09
3746,2e-08,695.27,20,-1.917,0.862,-1.1807e-09
3747,2e-08,695,20,-1.8246,0.56537,4.04e-09
3748,2e-08,695.14,20,-1.8799,0.73859,4.3179e-09
3749,2e-08,695.08,20,-1.8619,0.64208,-1.7778e-09
3750,2e-08,695.33,20,-1.9462,0.91603,4.2378e-11
3753,2e-08,694.98,20,-1.8417,0.54852,1.3204e-10
3755,2e-08,695.09,20,-1.885,0.67103,-5.6924e-10
3756,2e-08,695.24,20,-1.9331,0.81809,-5.2455e-09
3757,2e-08,695.04,20,-1.8627,0.56265,7.9527e-10
3759,2e-08,694.96,20,-1.8547,0.50852,1.1224e-09
3760,2e-08,695.31,20,-1.9643,0.88333,4.3183e-09
3761,2e-08,695.31,20,-1.9684,0.88061,1.3478e-09
3762,2e-08,695.13,20,-1.9026,0.64214,-2.1943e-09
3763,2e-08,695.25,20,-1.9499,0.79603,-3.3248e-10
3764,2e-08,694.91,20,-1.858,0.41499,1.0619e-09
3765,2e-08,695.04,20,-1.8962,0.55505,2.0695e-10
3766,2e-08,695.33,20,-1.9767,0.85372,3.2084e-10
3767,2e-08,694.97,20,-1.8751,0.42083,2.6301e-09
3768,2e-08,695.08,20,-1.9131,0.5614,1.7296e-10
3769,2e-08,695.18,20,-1.9381,0.67506,-1.5874e-09
3770,2e-08,695.13,20,-1.9331,0.64094,-2.6152e-09
3771,2e-08,695.23,20,-1.9664,0.76575,5.019e-09
3772,2e-08,695.04,20,-1.9082,0.47467,1.9374e-09
3773,2e-08,694.9,20,-1.8709,0.21252,1.7648e-10
3774,2e-08,695.4,20,-2.0311,0.95089,2.8469e-09
3775,2e-08,695.14,20,-1.9495,0.59596,-1.5491e-09
3776,2e-08,695.38,20,-2.0213,0.90922,3.8951e-10
3777,2e-08,694.9,20,-1.8933,0.2048,3.4455e-10
3778,2e-08,695.24,20,-1.9822,0.70732,-1.3446e-09
3779,2e-08,694.96,20,-1.9073,0.20912,-6.633e-11
3780,2e-08,695.14,20,-1.9667,0.60926,-1.3318e-09
3781,2e-08,695.14,20,-1.9733,0.60201,-1.2367e-09
3782,2e-08,695.21,20,-1.9792,0.62779,-3.1402e-10
3783,2e-08,695.26,20,-2.0014,0.72297,2.1265e-09
3784,2e-08,695.33,20,-2.0302,0.82711,1.7705e-09
3785,2e-08,695.41,20,-2.0542,0.91839,-9.757e-10
3786,2e-08,695.31,20,-2.0367,0.803,-3.1884e-09
3787,2e-08,695.41,20,-2.0631,0.92155,-2.9203e-09
3788,2e-08,695.25,20,-2.0184,0.68789,4.6509e-10
3789,2e-08,695.14,20,-1.9917,0.51988,2.4923e-09
3790,2e-08,695.26,20,-2.0282,0.69725,1.4222e-09
3791,2e-08,695.23,20,-2.0166,0.64771,-6.7751e-10
3792,2e-08,695,20,-1.9612,0.051324,2.0974e-10
3793,2e-08,695.45,20,-2.098,0.97001,-8.1463e-09
3794,2e-08,695.38,20,-2.0741,0.85915,6.8599e-10
3795,2e-08,695.23,20,-2.0341,0.6471,2.568e-09
3796,2e-08,695.4,20,-2.0866,0.90371,2.8208e-09
3797,2e-08,695.04,20,-1.9814,0.066031,1.0674e-10
3798,2e-08,695.1,20,-2.008,0.36743,5.8532e-10
3799,2e-08,695.33,20,-2.0784,0.7809,2.1921e-10
3800,2e-08,695.23,20,-2.0513,0.64172,-7.9786e-10
3801,2e-08,695.05,20,-2.0038,0.21653,-3.9619e-10
3802,2e-08,695.41,20,-2.1088,0.89436,-1.1682e-10
3803,2e-08,695.13,20,-2.029,0.36336,-1.3417e-09
3804,2e-08,695.33,20,-2.089,0.77511,2.9379e-09
3805,2e-08,695.35,20,-2.0961,0.78887,-9.7058e-10
3806,2e-08,695.38,20,-2.1085,0.8331,-2.4064e-09
3807,2e-08,695.11,20,-2.0338,0.23599,-4.4183e-10
3808,2e-08,695.2,20,-2.0671,0.51663,-1.1816e-09
3809,2e-08,695.43,20,-2.1332,0.89072,1.8704e-10
3810,2e-08,695.43,20,-2.1312,0.88464,-1.1308e-09
3811,2e-08,695.24,20,-2.0917,0.59027,-1.7269e-10
3812,2e-08,695.34,20,-2.1222,0.76276,1.3359e-09
3813,2e-08,695.27,20,-2.0951,0.58943,1.7107e-09
3814,2e-08,695.32,20,-2.118,0.72023,-8.2848e-10
3815,2e-08,695.42,20,-2.15,0.87919,-1.092e-09
3816,2e-08,695.47,20,-2.1638,0.94716,-1.3797e-09
3817,2e-08,695.55,20,-2.2626,1.02,-2.0253e-09
3818,2e-08,695.39,20,-2.1464,0.81346,1.5132e-09
3819,2e-08,695.51,20,-2.2347,0.9981,3.4599e-10
3820,2e-08,695.38,20,-2.152,0.79652,-2.0039e-09
3821,2e-08,695.47,20,-2.1815,0.94526,3.493e-09
3822,2e-08,695.42,20,-2.1716,0.8575,-2.5765e-09
3823,2e-08,695.23,20,-2.1272,0.4922,-2.4154e-10
3824,2e-08,695.32,20,-2.1448,0.66166,2.664e-09
3825,2e-08,695.22,20,-2.128,0.42198,-1.8776e-09
3826,2e-08,695.48,20,-2.1997,0.9796,5.3348e-10
3827,2e-08,695.45,20,-2.1924,0.92611,3.1729e-09
3828,2e-08,695.33,20,-2.1625,0.68431,6.8213e-10
3829,2e-08,695.41,20,-2.1926,0.84107,1.8103e-09
3830,2e-08,695.23,20,-2.1404,0.38082,4.2287e-09
3831,2e-08,695.34,20,-2.1726,0.65821,2.9508e-09
3832,2e-08,695.48,20,-2.2142,0.94296,-3.3801e-09
3833,2e-08,695.35,20,-2.1836,0.68312,3.2132e-09
3834,2e-08,695.47,20,-2.2108,0.91652,-2.0655e-09
3835,2e-08,695.2,20,-2.1565,0.25574,-3.3757e-11
3836,2e-08,695.21,20,-2.1625,0.29863,-1.5323e-09
3837,2e-08,695.41,20,-2.2078,0.78978,-6.0359e-09
3838,2e-08,695.47,20,-2.2245,0.92618,-2.6772e-09
3839,2e-08,695.38,20,-2.208,0.71515,4.948e-11
3840,2e-08,695.31,20,-2.1956,0.56943,2.0554e-09
3841,2e-08,695.43,20,-2.2261,0.83368,-4.2199e-09
3842,2e-08,695.46,20,-2.2379,0.89067,8.6638e-10
3843,2e-08,695.39,20,-2.2171,0.72584,1.127e-09
3844,2e-08,695.37,20,-2.2224,0.70405,1.3119e-09
3845,2e-08,695.55,20,-2.2693,1.0202,-7.6598e-10
3846,2e-08,695.47,20,-2.2535,0.90799,-4.5101e-09
3847,2e-08,695.28,20,-2.2129,0.40001,-4.5404e-09
3848,2e-08,695.24,20,-2.2061,0.28256,7.5921e-10
3849,2e-08,695.28,20,-2.2133,0.37276,-1.9945e-09
3850,2e-08,695.45,20,-2.2588,0.85931,-4.5014e-10
3851,2e-08,695.54,20,-2.2806,1.0098,7.2915e-10
3852,2e-08,695.29,20,-2.231,0.4683,-2.2291e-09
3853,2e-08,695.43,20,-2.2635,0.82683,-1.7034e-10
3854,2e-08,695.43,20,-2.2696,0.83724,-3.0534e-09
3855,2e-08,695.3,20,-2.2424,0.4973,2.0864e-09
3856,2e-08,695.42,20,-2.2773,0.81048,-3.3387e-09
3857,2e-08,695.35,20,-2.2579,0.60071,-9.9186e-10
3858,2e-08,695.48,20,-2.2924,0.91659,5.6895e-09
3859,2e-08,695.38,20,-2.2785,0.70177,-2.7856e-09
3860,2e-08,695.34,20,-2.2642,0.52278,-2.6432e-10
3861,2e-08,695.44,20,-2.2894,0.80287,6.1468e-09
3862,2e-08,695.51,20,-2.31,0.98261,-1.105e-09
3863,2e-08,695.45,20,-2.2956,0.84041,-5.176e-09
3864,2e-08,695.5,20,-2.3078,0.95145,6.8996e-10
3865,2e-08,695.48,20,-2.3101,0.90458,2.465e-09
3866,2e-08,695.35,20,-2.2883,0.56225,-3.2501e-09
3867,2e-08,695.48,20,-2.3138,0.8974,6.6551e-09
3868,2e-08,695.57,20,-2.3331,1.0267,2.5302e-10
3869,2e-08,695.32,20,-2.2927,0.44739,-3.2459e-10
3870,2e-08,695.33,20,-2.2998,0.46928,2.4851e-09
3871,2e-08,695.48,20,-2.326,0.89788,-3.6873e-09
3872,2e-08,695.31,20,-2.3006,0.3564,-8.4106e-10
3873,2e-08,695.51,20,-2.3379,0.97081,5.1212e-11
3874,2e-08,695.46,20,-2.3333,0.85628,-4.7354e-09
3875,2e-08,695.45,20,-2.3351,0.83048,1.8006e-09
3876,2e-08,695.29,20,-2.3115,0.21073,3.6519e-10
3877,2e-08,695.37,20,-2.3273,0.56918,8.5899e-10
3878,2e-08,695.45,20,-2.3424,0.83626,2.6574e-09
3879,2e-08,695.32,20,-2.3241,0.42215,1.6564e-09
3880,2e-08,695.53,20,-2.3645,0.99929,-3.4136e-09
3881,2e-08,695.33,20,-2.3311,0.37357,1.0665e-09
3882,2e-08,695.35,20,-2.3408,0.48361,-2.5272e-09
3883,2e-08,695.38,20,-2.3511,0.61592,5.7903e-09
3884,2e-08,695.58,20,-2.4992,1.0546,6.7353e-10
3885,2e-08,695.49,20,-2.3758,0.91237,3.2282e-09
3886,2e-08,695.31,20,-2.3439,0.25783,1.386e-09
3887,2e-08,695.45,20,-2.3741,0.80243,-4.9135e-10
3888,2e-08,695.43,20,-2.3752,0.76032,1.1149e-09
3889,2e-08,695.52,20,-2.3867,0.97903,-2.3258e-09
3890,2e-08,695.54,20,-2.3941,1.0219,7.2954e-09
3891,2e-08,695.35,20,-2.3689,0.41123,-4.3258e-10
3892,2e-08,695.39,20,-2.3829,0.61108,1.5413e-09
3893,2e-08,695.48,20,-2.4015,0.90593,-3.1072e-10
3894,2e-08,695.48,20,-2.4025,0.90678,3.2986e-09
3895,2e-08,695.38,20,-2.3901,0.55624,-1.6291e-09
3896,2e-08,695.46,20,-2.4084,0.84196,-3.5773e-09
3897,2e-08,695.36,20,-2.3958,0.45785,1.1945e-09
3898,2e-08,695.45,20,-2.4069,0.8032,-4.0822e-09
3899,2e-08,695.56,20,-2.4273,1.0395,-8.9872e-09
3900,2e-08,695.52,20,-2.4269,0.98608,1.3338e-09
3901,2e-08,695.35,20,-2.4086,0.35155,9.055e-10
3902,2e-08,695.41,20,-2.4213,0.65289,-4.3555e-10
3903,2e-08,695.51,20,-2.4369,0.98336,-6.307e-09
3904,2e-08,695.34,20,-2.4135,0.21866,-3.7647e-10
3905,2e-08,695.49,20,-2.4371,0.92107,3.8412e-10
3906,2e-08,695.37,20,-2.4265,0.47285,1.52e-09
3907,2e-08,695.46,20,-2.4448,0.83605,2.3784e-10
3908,2e-08,695.43,20,-2.4433,0.72721,-1.6167e-09
3909,2e-08,695.39,20,-2.4389,0.54333,-2.9254e-10
3910,2e-08,695.44,20,-2.4489,0.76172,2.1705e-09
3911,2e-08,695.55,20,-2.4615,1.0348,-3.3282e-09
3912,2e-08,695.35,20,-2.4429,0.25576,8.5858e-10
3913,2e-08,695.46,20,-2.463,0.83521,2.3638e-09
3914,2e-08,695.46,20,-2.4651,0.81996,-1.6e-09
3915,2e-08,695.46,20,-2.4677,0.8361,6.9134e-09
3916,2e-08,695.47,20,-2.472,0.87268,-6.4185e-09
3917,2e-08,695.5,20,-2.4782,0.97692,-4.891e-09
3918,2e-08,695.41,20,-2.4673,0.60995,-7.2949e-11
