"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3712,2e-08,500,20,-2.1963,1.0246,3.1582e-09
3762,2e-08,500,20,-2.1902,1.0176,1.5807e-09
3769,2e-08,500,20,-1.9963,0.89584,-4.2036e-10
3774,2e-08,500,20,-2.0267,0.95939,-2.4887e-10
3775,2e-08,500,20,-2.0161,0.90012,-4.7157e-09
3777,2e-08,500,20,-2.0127,0.85551,5.3664e-09
3781,2e-08,500,20,-2.0254,0.87189,5.0838e-09
3784,2e-08,500,20,-2.0499,0.91037,-4.7197e-09
3786,2e-08,500,20,-2.0361,0.82906,-2.8879e-09
3788,2e-08,500,20,-2.0093,0.6937,2.4532e-09
3790,2e-08,500,20,-2.0515,0.8296,-1.4042e-09
3791,2e-08,500,20,-2.0893,0.97748,-3.4453e-09
3792,2e-08,500,20,-2.0124,0.62114,2.3743e-09
3793,2e-08,500,20,-2.0563,0.83073,-4.2063e-09
3794,2e-08,500,20,-1.9994,0.51925,1.3318e-11
3795,2e-08,500,20,-2.0469,0.75783,2.3297e-10
3796,2e-08,500,20,-2.0052,0.4594,1.732e-09
3797,2e-08,500,20,-2.0639,0.7913,-5.5622e-09
3798,2e-08,500,20,-2.0781,0.85765,1.3833e-09
3799,2e-08,500,20,-2.1216,0.99307,3.1175e-09
3800,2e-08,500,20,-2.0918,0.90193,4.1658e-10
3801,2e-08,500,20,-2.0737,0.79468,3.3438e-10
3802,2e-08,500,20,-2.0167,0.3705,-1.5968e-10
3803,2e-08,500,20,-2.1018,0.88078,5.0709e-10
3804,2e-08,500,20,-2.0167,0.28922,-1.4313e-09
3805,2e-08,500,20,-2.0519,0.56072,-6.7479e-10
3806,2e-08,500,20,-2.1078,0.89754,-7.3998e-09
3807,2e-08,500,20,-2.0359,0.39644,-9.5706e-11
3808,2e-08,500,20,-2.1193,0.90506,-2.4645e-09
3809,2e-08,500,20,-2.1,0.8025,-4.4754e-09
3810,2e-08,500,20,-2.1294,0.92162,3.4243e-09
3811,2e-08,500,20,-2.0328,0.15644,-1.0517e-09
3812,2e-08,500,20,-2.1299,0.89499,-3.3375e-10
3813,2e-08,500,20,-2.1445,0.95265,5.1474e-10
3814,2e-08,500,20,-2.0927,0.64132,1.8371e-09
3815,2e-08,500,20,-2.1413,0.90655,3.6609e-09
3816,2e-08,500,20,-2.1609,0.99082,-1.8898e-09
3817,2e-08,500,20,-2.1389,0.85198,-5.1158e-09
3818,2e-08,500,20,-2.144,0.85659,2.225e-10
3819,2e-08,500,20,-2.1494,0.90184,-3.9331e-09
3820,2e-08,500,20,-2.0865,0.38994,2.6237e-09
3821,2e-08,500,20,-2.1637,0.93205,-5.0472e-09
3822,2e-08,500,20,-2.1115,0.54651,-3.4376e-10
3823,2e-08,500,20,-2.1236,0.59756,3.9341e-10
3824,2e-08,500,20,-2.1707,0.90087,-1.5241e-09
3825,2e-08,500,20,-2.1012,0.36418,-2.0733e-09
3826,2e-08,500,20,-2.1148,0.45751,3.0038e-10
3827,2e-08,500,20,-2.1589,0.77119,3.1821e-10
3828,2e-08,500,20,-2.1788,0.90095,-4.7412e-09
3829,2e-08,500,20,-2.1347,0.51074,3.2593e-09
3830,2e-08,500,20,-2.1585,0.67363,7.4408e-10
3831,2e-08,500,20,-2.1381,0.50324,-3.1632e-09
3832,2e-08,500,20,-2.1258,0.24629,-4.8671e-10
3833,2e-08,500,20,-2.1356,0.31093,2.6005e-09
3834,2e-08,500,20,-2.2031,0.93208,3.8727e-09
3835,2e-08,500,20,-2.1949,0.80984,6.7545e-09
3836,2e-08,500,20,-2.1746,0.64657,-3.446e-09
3837,2e-08,500,20,-2.1578,0.39106,1.4122e-09
3838,2e-08,500,20,-2.1756,0.55611,-1.1649e-09
3839,2e-08,500,20,-2.2142,0.88372,-4.1516e-09
3840,2e-08,500,20,-2.1805,0.58944,1.6251e-09
3841,2e-08,500,20,-2.1975,0.71663,-1.7297e-09
3842,2e-08,500,20,-2.2461,1.0161,-5.9574e-09
3843,2e-08,500,20,-2.2404,0.98451,-4.5293e-09
3844,2e-08,500,20,-2.2326,0.90519,2.2018e-09
3845,2e-08,500,20,-2.1864,0.36387,-1.0293e-10
3846,2e-08,500,20,-2.2647,1.0087,-7.8014e-11
3847,2e-08,500,20,-2.2318,0.82135,-1.0689e-10
3848,2e-08,500,20,-2.2505,0.97323,4.6186e-09
3849,2e-08,500,20,-2.221,0.69166,1.818e-09
3850,2e-08,500,20,-2.2393,0.82877,-5.3273e-11
3851,2e-08,500,20,-2.2656,0.98201,1.0016e-09
3852,2e-08,500,20,-2.2379,0.74392,-1.6534e-09
3853,2e-08,500,20,-2.2073,0.23181,-7.3316e-10
3854,2e-08,500,20,-2.2202,0.34916,-8.7178e-10
3855,2e-08,500,20,-2.2767,0.98297,2.0178e-09
3856,2e-08,500,20,-2.2789,0.99066,-1.974e-09
3857,2e-08,500,20,-2.2525,0.71501,2.631e-09
3858,2e-08,500,20,-2.2874,1.0133,4.4503e-09
3859,2e-08,500,20,-2.2399,0.38131,1.7425e-09
3860,2e-08,500,20,-2.2622,0.66837,-3.3933e-09
3861,2e-08,500,20,-2.2659,0.70029,-4.6589e-12
3862,2e-08,500,20,-2.2773,0.73533,5.2104e-09
