"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3156,2e-08,500,20,12.324,0.50044,1.2575e-09
3176,2e-08,500,20,12.297,0.1998,-3.4873e-10
3233,2e-08,500,20,12.37,7.866e-08,-3.905e-18
3106,2e-08,500,20,12.224,0.13573,-2.6586e-10
3069,2e-08,500,20,12.303,0.45396,-2.1537e-09
3124,2e-08,500,20,12.284,0.19719,-2.7884e-10
3047,7.8072e-07,500,780.72,12.365,0.95257,-2.9796e-10
3033,2e-08,500,20,12.225,0.051752,-3.5622e-10
3109,2e-08,500,20,12.202,0.55776,6.8569e-10
3098,2e-08,500,20,12.219,0.40982,-5.994e-10
3096,2e-08,500,20,12.141,0.24341,-1.6375e-10
2976,2e-08,500,20,12.229,0.2616,-4.1985e-10
2884,2e-08,500,20,12.075,0.80122,-2.7358e-09
3217,2e-08,500,20,12.102,0.018665,3.8267e-11
3202,2e-08,500,20,12.075,0.20004,-1.1047e-09
3165,2e-08,500,20,12.078,0.13245,2.5979e-10
3232,2e-08,500,20,12.046,0.19145,-3.4948e-10
3091,2e-08,500,20,11.932,0.78158,3.8585e-09
3259,2e-08,500,20,11.888,0.10189,5.5269e-10
2994,7.1841e-07,500,718.41,11.964,1.0391,1.5113e-09
3242,2e-08,500,20,11.812,0.28009,-1.7969e-09
3061,2e-08,500,20,11.81,0.62558,-8.6032e-11
2971,1.0184e-06,500,1018.4,11.798,0.8765,2.799e-10
3048,3.128e-07,500,312.8,11.966,1.5526,1.019e-08
3245,2e-08,500,20,11.805,0.13177,-5.3006e-10
3110,2e-08,500,20,11.777,0.26777,7.8037e-10
3086,2e-08,500,20,11.744,0.67103,1.1824e-09
3060,2e-08,500,20,11.712,0.61753,-7.2707e-10
3271,2e-08,500,20,11.692,0.023688,1.2127e-10
2843,2.0919e-07,500,209.19,11.675,0.86457,5.6971e-10
3221,2e-08,500,20,11.671,0.29632,1.5527e-09
3274,2e-08,500,20,11.671,0.088123,3.7871e-10
3248,2e-08,500,20,11.663,0.049022,-5.0847e-11
2349,1.974e-07,500,197.4,15.182,14.331,8.3172e-08
2847,2e-08,500,20,15.93,0.44346,-7.2793e-11
3059,2e-08,500,20,15.935,0.23078,6.4195e-11
2930,2e-08,500,20,15.834,0.67753,-3.2077e-09
3057,2e-08,500,20,15.872,0.073807,-2.0759e-10
2969,2e-08,500,20,15.79,0.52345,-1.0786e-10
2835,3.8782e-07,500,387.82,15.916,1.2973,-5.7068e-09
2949,2e-08,500,20,15.807,0.20685,2.4689e-10
3058,2e-08,500,20,15.822,0.09126,2.5771e-10
3070,2e-08,500,20,15.776,0.096479,-2.8948e-10
3100,2e-08,500,20,15.799,0.2391,4.9449e-10
3017,2e-08,500,20,15.539,0.20848,-8.6867e-10
3026,2e-08,500,20,15.63,0.40652,-1.1443e-10
3067,4.7023e-07,500,470.23,15.635,0.9593,1.7199e-09
2891,2e-08,500,20,15.679,0.30783,-6.8799e-10
3040,2e-08,500,20,15.619,0.32594,1.1516e-09
3080,2e-08,500,20,15.687,0.090668,2.5741e-10
3081,2e-08,500,20,15.614,0.21274,-7.088e-11
3042,2e-08,500,20,15.543,0.037119,-4.3545e-12
2861,2e-08,500,20,15.541,0.22089,-1.2771e-09
2815,2e-08,500,20,15.534,0.24052,-1.1587e-09
3001,2.1591e-07,500,215.91,15.711,3.1516,-1.46e-08
3028,2e-08,500,20,15.476,0.31438,-2.5423e-10
2929,2e-08,500,20,15.388,0.0033482,0
3052,2e-08,500,20,15.404,5.6874e-07,-1.1126e-17
2921,2e-08,500,20,15.216,0.8252,-5.9138e-09
3014,5.8661e-07,500,586.61,15.335,1.154,-2.6435e-09
3039,2e-08,500,20,15.364,0.069478,1.6892e-10
3090,2e-08,500,20,15.355,1.0898e-06,2.3246e-17
3087,2e-08,500,20,15.31,0.1255,-1.6371e-10
