"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3642,2e-08,500,20,-2.0016,0.97966,6.2128e-10
3759,2e-08,500,20,-1.9722,0.88645,-2.4385e-09
3764,2e-08,500,20,-1.9793,0.8561,6.5014e-10
3769,2e-08,500,20,-1.9743,0.77285,-6.8131e-11
3772,2e-08,500,20,-2.0288,0.94771,-7.3672e-09
3774,2e-08,500,20,-2.0285,0.91113,-2.7715e-09
3776,2e-08,500,20,-1.9875,0.70763,-6.9706e-11
3780,2e-08,500,20,-1.9871,0.63033,-5.3922e-11
3781,2e-08,500,20,-2.011,0.72507,4.9066e-09
3782,2e-08,500,20,-2.0369,0.8326,4.6534e-09
3783,2e-08,500,20,-2.0566,0.91384,1.8526e-09
3784,2e-08,500,20,-2.033,0.79848,2.9564e-09
3785,2e-08,500,20,-2.0628,0.92196,4.6076e-10
3786,2e-08,500,20,-2.0233,0.69304,-2.2998e-09
3787,2e-08,500,20,-1.9901,0.52217,-2.6831e-09
3788,2e-08,500,20,-2.0309,0.70414,-2.7109e-09
3789,2e-08,500,20,-2.0222,0.64894,-1.6936e-09
3790,2e-08,500,20,-1.9651,0.049041,5.0316e-11
3791,2e-08,500,20,-2.1024,0.97796,-1.7314e-09
3792,2e-08,500,20,-2.079,0.86218,1.8638e-09
3793,2e-08,500,20,-2.0399,0.6405,-1.1005e-09
3794,2e-08,500,20,-2.0908,0.90338,-1.4762e-09
3795,2e-08,500,20,-1.9885,0.063812,8.8294e-11
3796,2e-08,500,20,-2.0103,0.37548,-2.3592e-09
3797,2e-08,500,20,-2.076,0.77204,-3.8042e-09
3798,2e-08,500,20,-2.0595,0.64486,-2.4102e-09
3799,2e-08,500,20,-2.0075,0.21643,8.7303e-10
3800,2e-08,500,20,-2.1108,0.8946,-6.3701e-10
3801,2e-08,500,20,-2.0342,0.35141,8.0254e-10
3802,2e-08,500,20,-2.0969,0.77567,4.6831e-09
3803,2e-08,500,20,-2.1008,0.78649,-3.8972e-10
