cluster,temperature,particles,volumes,distance
1,234.303,54843,31786341256.900204,12.171
2,315.559,532,268722361.59833765,0.973
3,346.15,38,18349518.99721701,0.132
all,235.16,55413,32073413137.49567,13.704
