cluster,temperature,particles,volumes,distance
1,234.086,53640,31262942825.57721,12.078
2,321.928,418,213996437.22270575,0.544
3,316.39,114,58070469.29109153,0.161
all,234.937,54172,31535009732.09117,13.179
