cluster,temperature,particles,volumes,distance
1,236.609,53300,31037107699.120155,12.779
2,323.68,228,115155784.98872137,0.377
3,342.525,76,37030273.02175283,0.152
all,237.13,53604,31189293757.130554,13.708
