cluster,temperature,particles,volumes,distance
1,235.401,55470,32030494326.173893,12.617
2,321.35,38,19711542.80377514,0.133
3,341.55,76,38959613.19884626,0.132
all,235.605,55584,32089165482.176533,13.23
