cluster,temperature,particles,volumes,distance
1,235.388,51293,29898495340.800964,11.794
2,316.793,798,426947393.16649824,0.702
3,273.67,114,60122386.92937219,0.198
4,343.58,38,18305598.754988942,0.133
all,236.793,52243,30403870719.65172,13.467
