cluster,temperature,particles,volumes,distance
1,234.49,53159,30524897276.73763,12.205
2,315.743,380,201619756.5143378,0.553
3,337.53,38,19225730.468550097,0.131
all,235.139,53577,30745742763.7204,13.236
