cluster,temperature,particles,volumes,distance
1,234.991,55753,32264989478.961815,12.934
2,293.58,38,18759116.234065853,0.157
3,341.58,38,18305598.754988942,0.135
all,235.103,55829,32302054193.95098,13.815
