cluster,temperature,particles,volumes,distance
1,235.429,48948,28640952967.851444,11.521
2,299.843,532,300800620.3092408,0.361
3,300.825,494,268991800.9499508,0.403
4,298.173,152,76036957.91221242,0.238
5,331.14,76,38111371.01658225,0.143
all,237.09,50202,29324893718.03934,13.212
