cluster,temperature,particles,volumes,distance
1,254.678,1444,837508200.5377282,1.015
2,294.864,912,502142159.79696774,0.795
3,300.683,228,114966141.53296885,0.189
4,309.208,190,95248588.10531709,0.214
5,231.258,47848,27598562375.665653,10.205
all,233.677,50622,29148427465.638313,13.003
