cluster,temperature,particles,volumes,distance
1,265.783,2394,1346908670.867091,1.569
2,266.405,304,156061264.83606204,0.359
3,272.61,114,61605762.91636362,0.203
4,303.108,190,95985905.77690509,0.237
5,232.98,44532,25341647172.140934,10.196
all,235.221,47534,27002208776.53752,12.913
