cluster,temperature,particles,volumes,distance
1,234.624,50851,29104040238.04259,12.701
2,292.393,114,58462886.16538443,0.26
3,330.91,38,18692285.205032486,0.133
4,320.14,38,18525902.47820506,0.149
all,234.888,51041,29199721311.891144,13.74
