cluster,temperature,particles,volumes,distance
1,234.89,53459,30561961936.435333,12.81
2,339.89,76,37670115.20672606,0.143
3,345.15,38,19316560.541417394,0.128
all,235.117,53573,30618948612.18342,13.764
