cluster,temperature,particles,volumes,distance
1,289.548,1672,938728648.1258498,1.115
2,309.38,266,140421098.07133552,0.243
3,325.36,114,57744550.47000204,0.17
4,232.352,50262,28721674254.499657,10.867
all,234.775,52314,29858568551.166298,12.977
