cluster,temperature,particles,volumes,distance
1,233.131,50450,28818638212.495506,11.851
2,306.275,152,83349376.46470535,0.269
3,359.682,190,102025479.49228749,0.345
4,337.77,38,18792591.40137396,0.129
5,324.15,76,37723821.2500391,0.155
all,234.035,50906,29060529481.10383,13.205
